CID,BDATE,GEN
NASAW00011066,1976-10-14,Female
NASAW00011067,1949-11-11,Male
NASAW00011068,1950-06-10,Female
NASAW00011069,1954-10-21,Male
NASAW00011070,1993-02-11,Female
NASAW00011071,1961-06-18,Male
NASAW00011072,1951-10-07,Male
NASAW00011073,1949-07-16,Male
NASAW00011074,1953-05-15,Male
NASAW00011075,1959-12-03,Female
NASAW00011076,1964-03-06,Male
NASAW00011077,1959-10-09,Female
NASAW00011078,1968-10-17,Female
NASAW00011079,1970-08-05,Female
NASAW00011080,1958-11-21,Male
NASAW00011081,1950-04-01,Male
NASAW00011082,1973-02-19,Female
NASAW00011083,1990-02-11,Male
NASAW00011084,1950-02-07,Male
NASAW00011085,1961-09-03,Male
NASAW00011086,2005-07-30,Female
NASAW00011087,1955-10-04,Male
NASAW00011088,1996-12-09,Male
NASAW00011089,1982-08-12,Female
NASAW00011090,1968-05-24,Female
NASAW00011091,1966-06-01,Male
NASAW00011092,2005-04-05,Female
NASAW00011093,1973-05-14,Male
NASAW00011094,1945-11-02,Male
NASAW00011095,1951-07-29,Female
NASAW00011096,1956-11-19,Male
NASAW00011097,1966-12-01,Male
NASAW00011098,1984-04-24,Female
NASAW00011099,1999-11-17,Male
NASAW00011100,2004-12-01,Female
NASAW00011101,2004-07-07,Male
NASAW00011102,1968-09-23,Male
NASAW00011103,1994-08-20,Female
NASAW00011104,1999-04-07,Female
NASAW00011105,1963-04-08,Female
NASAW00011106,1990-05-06,Male
NASAW00011107,1953-04-13,Female
NASAW00011108,1948-12-15,
NASAW00011109,1956-09-26,Female
NASAW00011110,1959-07-01,Female
NASAW00011111,1995-04-28,Male
NASAW00011112,2006-12-30,Male
NASAW00011113,1978-02-15,Male
NASAW00011114,1983-07-24,Female
NASAW00011115,1977-09-18,Male
NASAW00011116,1977-02-06,Male
NASAW00011117,2004-11-01,Female
NASAW00011118,2000-09-06,Male
NASAW00011119,1959-07-31,Male
NASAW00011120,1981-12-28,female
NASAW00011121,1974-10-21,Female
NASAW00011122,2005-02-06,Male
NASAW00011123,1968-12-08,Male
NASAW00011124,1979-04-28,Female
NASAW00011125,1964-12-15,Female
NASAW00011126,1976-05-15,Male
NASAW00011127,1964-12-31,Female
NASAW00011128,1980-09-30,Male
NASAW00011129,1970-01-16,Female
NASAW00011130,2005-12-18,Female
NASAW00011131,1947-06-24,Female
NASAW00011132,1961-01-08,Female
NASAW00011133,1948-06-07,Female
NASAW00011134,1976-01-06,Female
NASAW00011135,1984-02-25,Male
NASAW00011136,1979-07-24,Male
NASAW00011137,1967-11-08,Female
NASAW00011138,1945-02-25,Male
NASAW00011139,1977-09-04,Female
NASAW00011140,2000-11-27,Male
NASAW00011141,1971-12-11,Female
NASAW00011142,1974-04-07,Female
NASAW00011143,1994-09-27,Female
NASAW00011144,2004-08-27,Male
NASAW00011145,2000-03-22,Female
NASAW00011146,1994-02-27,Female
NASAW00011147,1970-09-28,Female
NASAW00011148,1986-09-19,Male
NASAW00011149,1990-11-11,Male
NASAW00011150,2004-02-10,Female
NASAW00011151,1953-05-19,Male
NASAW00011152,2005-05-12,Male
NASAW00011153,1958-03-22,Female
NASAW00011154,1987-08-18,Male
NASAW00011155,1985-11-10,Male
NASAW00011156,1979-06-14,Male
NASAW00011157,1958-03-29,Male
NASAW00011158,1954-07-25,Male
NASAW00011159,1960-10-12,Female
NASAW00011160,1949-07-04,Male
NASAW00011161,1985-12-14,Female
NASAW00011162,2004-11-22,Female
NASAW00011163,1984-09-15,Female
NASAW00011164,1994-02-25,Male
NASAW00011165,1987-08-03,Male
NASAW00011166,2002-03-17,Female
NASAW00011167,2001-03-25,Female
NASAW00011168,1951-12-14,Male
NASAW00011169,1969-05-18,Male
NASAW00011170,1957-06-01,Female
NASAW00011171,1958-09-17,Male
NASAW00011172,1982-03-22,Female
NASAW00011173,1982-04-21,Female
NASAW00011174,1979-12-11,Male
NASAW00011175,1996-08-25,Male
NASAW00011176,1976-07-23,Female
NASAW00011177,1982-08-05,Male
NASAW00011178,1988-10-20,Female
NASAW00011179,1988-07-27,M
NASAW00011180,2005-01-03,Female
NASAW00011181,1959-10-23,Male
NASAW00011182,2000-10-29,Female
NASAW00011183,1998-02-07,Male
NASAW00011184,1952-07-13,Male
NASAW00011185,1986-06-03,Female
NASAW00011186,1979-01-05,Female
NASAW00011187,1974-04-29,Female
NASAW00011188,1969-12-18,Female
NASAW00011189,1967-08-20,Female
NASAW00011190,1946-09-28,Male
NASAW00011191,1976-05-25,Male
NASAW00011192,2003-06-22,Male
NASAW00011193,1967-03-09,Male
NASAW00011194,2000-09-28,Male
NASAW00011195,1987-06-27,Male
NASAW00011196,1986-09-21,Female
NASAW00011197,1960-01-21,Male
NASAW00011198,1959-09-11,Male
NASAW00011199,1996-12-01,M
NASAW00011200,1996-08-28,Female
NASAW00011201,1980-08-02,Male
NASAW00011202,1951-10-27,Male
NASAW00011203,1954-02-22,Female
NASAW00011204,2006-05-22,Male
NASAW00011205,1995-10-10,Female
NASAW00011206,1992-10-17,Female
NASAW00011207,1951-03-10,Female
NASAW00011208,1946-02-19,Female
NASAW00011209,1954-06-21,Female
NASAW00011210,2002-01-08,Female
NASAW00011211,1958-09-23,Female
NASAW00011212,2000-04-04,Female
NASAW00011213,1986-09-15,Female
NASAW00011214,1973-12-01,Male
NASAW00011215,1970-01-09,Male
NASAW00011216,1986-09-10,Female
NASAW00011217,1975-03-08,
NASAW00011218,1974-02-28,Male
NASAW00011219,1976-10-31,Female
NASAW00011220,1970-02-02,Female
NASAW00011221,1994-11-12,Female
NASAW00011222,1952-09-06,Female
NASAW00011223,1988-10-31,Male
NASAW00011224,2006-12-16,Female
NASAW00011225,1985-03-17,Male
NASAW00011226,1971-05-26,Male
NASAW00011227,1972-06-21,Female
NASAW00011228,1987-06-17,Female
NASAW00011229,1983-03-05,Female
NASAW00011230,1976-07-25,Female
NASAW00011231,1972-07-05,Male
NASAW00011232,1962-04-12,Male
NASAW00011233,1962-03-09,Female
NASAW00011234,1969-10-22,Female
NASAW00011235,1954-01-08,Female
NASAW00011236,1965-05-30,Female
NASAW00011237,1946-04-09,Male
NASAW00011238,1969-08-11,Male
NASAW00011239,1994-08-24,Male
NASAW00011240,2002-03-24,Female
NASAW00011241,1954-03-16,Female
NASAW00011242,1987-02-11,Female
NASAW00011243,1961-07-17,Female
NASAW00011244,1987-11-11,Male
NASAW00011245,1980-12-13,Male
NASAW00011246,1958-08-12,Female
NASAW00011247,1952-08-23,Male
NASAW00011248,1995-01-25,Male
NASAW00011249,1991-11-19,Female
NASAW00011250,1971-09-05,Female
NASAW00011251,1972-05-25,Male
NASAW00011252,1999-09-11,Male
NASAW00011253,1963-08-23,Female
NASAW00011254,2004-04-01,Male
NASAW00011255,1960-08-05,Male
NASAW00011256,1945-03-29,Female
NASAW00011257,1971-02-17,M
NASAW00011258,1970-05-14,Female
NASAW00011259,1951-05-22,Female
NASAW00011260,2001-01-28,Male
NASAW00011261,1983-02-21,Male
NASAW00011262,2003-02-07,Female
NASAW00011263,1957-10-05,Male
NASAW00011264,1972-08-06,Female
NASAW00011265,1984-05-26,Female
NASAW00011266,1981-02-10,Female
NASAW00011267,1984-04-10,Male
NASAW00011268,1983-10-05,Female
NASAW00011269,1947-04-28,Male
NASAW00011270,2005-04-25,Male
NASAW00011271,1960-09-19,Female
NASAW00011272,1969-12-15,Female
NASAW00011273,2001-12-13,Male
NASAW00011274,1987-03-03,Female
NASAW00011275,1973-10-21,Male
NASAW00011276,1974-08-04,Female
NASAW00011277,1970-11-10,Female
NASAW00011278,1994-05-09,Male
NASAW00011279,1973-03-21,Male
NASAW00011280,1981-04-06,Male
NASAW00011281,2004-01-02,Female
NASAW00011282,1982-01-28,Female
NASAW00011283,2000-11-10,Female
NASAW00011284,1949-08-19,Male
NASAW00011285,1970-11-04,Female
NASAW00011286,1955-11-23,female
NASAW00011287,1999-08-17,Male
NASAW00011288,1972-11-17,Female
NASAW00011289,1953-05-13,Male
NASAW00011290,1986-05-26,Male
NASAW00011291,1989-09-17,Female
NASAW00011292,1990-08-27,Female
NASAW00011293,1988-04-15,Male
NASAW00011294,1985-12-24,Female
NASAW00011295,1962-02-06,Male
NASAW00011296,1951-04-07,Female
NASAW00011297,1975-06-30,Female
NASAW00011298,1945-03-26,Female
NASAW00011299,1997-08-28,Female
NASAW00011300,1958-05-02,Female
NASAW00011301,1975-12-19,Female
NASAW00011302,1985-11-07,Male
NASAW00011303,1966-06-05,Male
NASAW00011304,1981-11-08,Female
NASAW00011305,1979-03-16,Male
NASAW00011306,1989-06-09,Male
NASAW00011307,1990-01-24,Female
NASAW00011308,1954-01-02,Female
NASAW00011309,1953-12-12,Female
NASAW00011310,1946-05-18,Female
NASAW00011311,2003-09-29,Male
NASAW00011312,1987-02-14,Female
NASAW00011313,1975-05-17,Female
NASAW00011314,2003-04-20,Female
NASAW00011315,2005-07-02,Female
NASAW00011316,1973-05-30,Female
NASAW00011317,1993-07-16,Male
NASAW00011318,1966-01-23,Female
NASAW00011319,1965-05-30,Female
NASAW00011320,1953-10-31,Male
NASAW00011321,1984-10-21,Female
NASAW00011322,,Male
NASAW00011323,1971-04-28,Female
NASAW00011324,1958-01-23,Female
NASAW00011325,1995-10-10,Male
NASAW00011326,1960-04-02,Female
NASAW00011327,2000-08-06,Female
NASAW00011328,1997-04-26,Female
NASAW00011329,2002-03-25,Female
NASAW00011330,2004-10-29,
NASAW00011331,1986-09-28,Male
NASAW00011332,1951-08-18,Female
NASAW00011333,1997-09-18,Female
NASAW00011334,2006-12-07,Female
NASAW00011335,1962-11-15,Female
NASAW00011336,1954-07-27,Female
NASAW00011337,1996-07-27,Female
NASAW00011338,1946-12-20,Female
NASAW00011339,1969-08-17,
NASAW00011340,2006-07-12,Male
NASAW00011341,1999-05-28,Female
NASAW00011342,1965-08-24,Female
NASAW00011343,1964-08-25,Female
NASAW00011344,2005-10-21,Male
NASAW00011345,2001-05-13,Male
NASAW00011346,1972-09-19,Male
NASAW00011347,1996-12-30,Male
NASAW00011348,1953-02-01,Female
NASAW00011349,1982-04-12,Male
NASAW00011350,1993-05-24,Female
NASAW00011351,1992-08-16,Female
NASAW00011352,1959-10-06,Female
NASAW00011353,1971-06-25,Female
NASAW00011354,1955-05-02,Male
NASAW00011355,1957-08-18,Male
NASAW00011356,2005-09-04,Female
NASAW00011357,1995-01-01,Female
NASAW00011358,1946-04-02,Male
NASAW00011359,1985-10-20,Female
NASAW00011360,1997-06-11,Female
NASAW00011361,1954-09-21,Female
NASAW00011362,1947-04-01,Female
NASAW00011363,1999-09-26,Male
NASAW00011364,2002-01-02,Female
NASAW00011365,2003-04-01,Male
NASAW00011366,1949-01-25,Female
NASAW00011367,1989-03-13,Male
NASAW00011368,1993-03-24,Female
NASAW00011369,1978-04-15,Female
NASAW00011370,1997-09-10,Male
NASAW00011371,1982-03-22,Female
NASAW00011372,2000-03-26,Female
NASAW00011373,1947-12-09,Male
NASAW00011374,1984-10-11,Male
NASAW00011375,1977-07-16,Female
NASAW00011376,1993-11-06,Female
NASAW00011377,1950-06-08,Male
NASAW00011378,1955-12-17,Female
NASAW00011379,1953-03-23,Male
NASAW00011380,1949-07-16,Male
NASAW00011381,1956-04-19,Male
NASAW00011382,1951-02-27,Male
NASAW00011383,1997-08-10,Male
NASAW00011384,1974-06-24,Male
NASAW00011385,1969-11-16,Male
NASAW00011386,1956-08-30,Male
NASAW00011387,1954-11-12,Male
NASAW00011388,1956-10-28,
NASAW00011389,1966-05-07,Male
NASAW00011390,1960-08-19,Male
NASAW00011391,1982-10-08,Male
NASAW00011392,1987-09-23,Female
NASAW00011393,1991-01-17,Female
NASAW00011394,1990-03-15,Male
NASAW00011395,2004-02-11,Female
NASAW00011396,2002-09-19,Male
NASAW00011397,1987-12-22,Female
NASAW00011398,2006-07-22,Female
NASAW00011399,1951-08-06,Female
NASAW00011400,1999-07-29,Male
NASAW00011401,1969-09-03,Female
NASAW00011402,1979-03-05,Female
NASAW00011403,1985-09-15,Female
NASAW00011404,1953-11-24,Male
NASAW00011405,2003-09-27,Male
NASAW00011406,1983-08-02,Male
NASAW00011407,1982-02-15,Female
NASAW00011408,1980-10-09,Male
NASAW00011409,,Female
NASAW00011410,1978-08-01,Female
NASAW00011411,1951-01-09,Male
NASAW00011412,1953-05-13,Female
NASAW00011413,1956-09-03,Female
NASAW00011414,2005-02-09,Female
NASAW00011415,2004-09-09,Female
NASAW00011416,1949-08-13,Female
NASAW00011417,1976-07-19,Male
NASAW00011418,1958-11-19,Male
NASAW00011419,1954-09-17,Female
NASAW00011420,1955-04-23,Male
NASAW00011421,1983-07-02,Male
NASAW00011422,1999-08-21,Female
NASAW00011423,1947-08-07,Female
NASAW00011424,1975-06-28,Male
NASAW00011425,1957-11-08,Female
NASAW00011426,1951-03-31,Male
NASAW00011427,1953-03-26,Male
NASAW00011428,1978-10-02,Female
NASAW00011429,1959-02-14,Female
NASAW00011430,1995-12-03,Male
NASAW00011431,1958-12-17,Male
NASAW00011432,2005-06-19,Female
NASAW00011433,2004-05-21,Female
NASAW00011434,1982-02-27,Male
NASAW00011435,1975-12-20,Female
NASAW00011436,2005-11-05,Female
NASAW00011437,1992-04-10,Male
NASAW00011438,1964-10-13,Male
NASAW00011439,1945-09-09,Male
NASAW00011440,1957-04-24,Female
NASAW00011441,1974-06-09,Female
NASAW00011442,1983-08-21,Female
NASAW00011443,1992-10-12,Female
NASAW00011444,1951-06-20,Male
NASAW00011445,1984-02-20,Male
NASAW00011446,1973-02-01,Female
NASAW00011447,2002-06-07,Male
NASAW00011448,1981-05-04,M
NASAW00011449,1960-06-02,Female
NASAW00011450,2006-11-14,Male
NASAW00011451,1984-03-07,Male
NASAW00011452,1984-02-02,Male
NASAW00011453,1980-07-04,Female
NASAW00011454,1964-11-17,Male
NASAW00011455,1951-11-08,Male
NASAW00011456,1992-08-08,Female
NASAW00011457,1976-07-01,Male
NASAW00011458,1966-03-14,Female
NASAW00011459,1962-09-13,Male
NASAW00011460,2003-10-23,Female
NASAW00011461,1986-08-16,Female
NASAW00011462,2006-02-09,Female
NASAW00011463,2001-04-09,Female
NASAW00011464,1951-02-16,Female
NASAW00011465,1969-08-23,Female
NASAW00011466,1990-07-08,Female
NASAW00011467,1985-07-18,M
NASAW00011468,1970-10-03,Male
NASAW00011469,2000-03-05,Female
NASAW00011470,1986-07-07,Male
NASAW00011471,1985-05-07,Male
NASAW00011472,1973-11-05,Male
NASAW00011473,1950-07-21,Female
NASAW00011474,1952-07-26,Male
NASAW00011475,1948-07-06,Female
NASAW00011476,1984-06-03,Male
NASAW00011477,1977-08-25,Female
NASAW00011478,1979-10-04,Female
NASAW00011479,2005-11-28,Female
NASAW00011480,1950-11-30,Female
NASAW00011481,1970-06-29,Male
NASAW00011482,1974-11-28,Male
NASAW00011483,1976-05-20,Female
NASAW00011484,1956-07-27,Male
NASAW00011485,1972-10-10,Female
NASAW00011486,1956-06-19,Male
NASAW00011487,2002-12-16,Female
NASAW00011488,1946-08-21,Male
NASAW00011489,1964-03-20,Female
NASAW00011490,1962-03-24,Male
NASAW00011491,1958-11-26,Male
NASAW00011492,1990-07-19,Male
NASAW00011493,2004-05-21,Male
NASAW00011494,1998-08-01,Male
NASAW00011495,1961-03-23,Male
NASAW00011496,1984-04-07,Female
NASAW00011497,2005-09-06,Female
NASAW00011498,1999-10-12,Female
NASAW00011499,1965-12-29,Female
NASAW00011500,1987-01-29,Male
NASAW00011501,1978-01-01,Female
NASAW00011502,1986-06-03,Female
NASAW00011503,1990-02-13,Male
NASAW00011504,1962-12-01,Male
NASAW00011505,1967-06-07,Female
NASAW00011506,1978-04-21,Male
NASAW00011507,1991-04-15,Female
NASAW00011508,1952-07-11,Female
NASAW00011509,1985-04-24,Male
NASAW00011510,1984-04-01,Male
NASAW00011511,1985-06-22,Male
NASAW00011512,1982-03-23,Female
NASAW00011513,1966-02-25,Male
NASAW00011514,1978-08-21,Female
NASAW00011515,1953-11-21,Female
NASAW00011516,1958-02-07,Female
NASAW00011517,1987-05-22,Male
NASAW00011518,1987-02-01,Male
NASAW00011519,1952-02-10,Female
NASAW00011520,1958-06-01,Female
NASAW00011521,1954-12-23,Male
NASAW00011522,1972-01-08,Male
NASAW00011523,1982-08-31,Female
NASAW00011524,1950-08-21,Female
NASAW00011525,1998-07-15,Male
NASAW00011526,1957-11-18,Male
NASAW00011527,2000-02-28,Female
NASAW00011528,1961-10-21,Male
NASAW00011529,1991-12-19,Male
NASAW00011530,1992-03-12,Male
NASAW00011531,1980-01-12,Male
NASAW00011532,2002-01-11,Female
NASAW00011533,1967-10-04,Female
NASAW00011534,1951-01-23,Male
NASAW00011535,1997-03-16,Female
NASAW00011536,1956-12-20,Female
NASAW00011537,2002-09-02,Female
NASAW00011538,1987-12-07,Male
NASAW00011539,1950-08-30,Female
NASAW00011540,1948-04-26,Male
NASAW00011541,1962-11-24,Female
NASAW00011542,1972-10-26,Female
NASAW00011543,1967-09-23,female
NASAW00011544,1962-02-23,Male
NASAW00011545,2003-10-31,Male
NASAW00011546,1978-01-07,Female
NASAW00011547,1984-06-14,Female
NASAW00011548,1975-06-02,Female
NASAW00011549,1989-08-20,Female
NASAW00011550,1952-05-31,Male
NASAW00011551,1983-08-20,Male
NASAW00011552,1993-12-09,Male
NASAW00011553,1952-03-08,Female
NASAW00011554,1972-07-01,Female
NASAW00011555,1959-12-14,Female
NASAW00011556,1985-02-11,Female
NASAW00011557,2000-02-29,Female
NASAW00011558,2002-05-16,Male
NASAW00011559,1951-09-25,Female
NASAW00011560,1977-08-05,Male
NASAW00011561,1947-10-18,Female
NASAW00011562,1948-02-15,Male
NASAW00011563,2002-11-18,Female
NASAW00011564,1995-11-22,Female
NASAW00011565,2005-12-03,Female
NASAW00011566,1978-05-18,Male
NASAW00011567,1996-06-28,Female
NASAW00011568,1980-09-16,Female
NASAW00011569,1967-05-25,Male
NASAW00011570,1961-09-10,Female
NASAW00011571,1995-05-23,Female
NASAW00011572,1985-01-14,Female
NASAW00011573,1989-01-25,Male
NASAW00011574,1951-08-24,Female
NASAW00011575,1952-11-16,Female
NASAW00011576,2004-11-30,Male
NASAW00011577,1994-05-06,Female
NASAW00011578,1959-02-18,Male
NASAW00011579,1977-06-07,Male
NASAW00011580,1963-01-12,Male
NASAW00011581,1989-04-28,male
NASAW00011582,1996-05-05,Male
NASAW00011583,1999-11-26,Male
NASAW00011584,1972-09-30,Female
NASAW00011585,1992-02-29,Female
NASAW00011586,1996-07-30,Female
NASAW00011587,2002-08-18,Female
NASAW00011588,2006-01-06,Male
NASAW00011589,1994-06-18,Male
NASAW00011590,1956-07-30,Male
NASAW00011591,1956-02-21,Female
NASAW00011592,1959-10-10,Male
NASAW00011593,1976-01-17,Female
NASAW00011594,1952-01-29,Female
NASAW00011595,1956-03-25,Male
NASAW00011596,1990-02-02,Male
NASAW00011597,1960-05-11,Female
NASAW00011598,1995-07-26,Male
NASAW00011599,1952-04-15,Female
NASAW00011600,2003-06-02,Female
NASAW00011601,2000-06-15,Female
NASAW00011602,2001-04-07,Female
NASAW00011603,1988-04-30,Female
NASAW00011604,1971-09-08,Male
NASAW00011605,1959-03-08,Female
NASAW00011606,1986-09-01,Male
NASAW00011607,1973-01-16,Female
NASAW00011608,1975-12-27,Male
NASAW00011609,1978-03-30,Male
NASAW00011610,1973-08-18,Male
NASAW00011611,1968-12-30,Male
NASAW00011612,1953-09-08,Female
NASAW00011613,2000-03-17,Male
NASAW00011614,1974-05-18,Female
NASAW00011615,1962-01-12,Female
NASAW00011616,1991-03-07,Female
NASAW00011617,1989-08-15,F
NASAW00011618,1990-05-07,Male
NASAW00011619,1964-04-20,Male
NASAW00011620,1949-07-15,Female
NASAW00011621,1970-08-21,Male
NASAW00011622,1983-08-30,Female
NASAW00011623,1977-10-25,Female
NASAW00011624,1949-01-22,Male
NASAW00011625,1977-07-11,Male
NASAW00011626,1979-08-30,Female
NASAW00011627,2000-11-30,Male
NASAW00011628,1956-07-18,Female
NASAW00011629,1978-06-25,Female
NASAW00011630,1995-01-18,Male
NASAW00011631,1962-11-10,Female
NASAW00011632,1989-11-12,Male
NASAW00011633,1957-04-18,Female
NASAW00011634,1991-08-05,Male
NASAW00011635,1974-06-04,Female
NASAW00011636,1959-07-31,Female
NASAW00011637,1998-04-08,Female
NASAW00011638,1995-07-03,Male
NASAW00011639,1978-01-18,Male
NASAW00011640,1982-05-16,Male
NASAW00011641,1998-07-21,Male
NASAW00011642,1949-08-10,Male
NASAW00011643,1992-01-13,Female
NASAW00011644,1958-04-05,Male
NASAW00011645,1947-11-01,Male
NASAW00011646,1962-02-12,M
NASAW00011647,1982-07-28,Male
NASAW00011648,1981-10-26,Female
NASAW00011649,1950-08-03,Male
NASAW00011650,1995-04-28,Female
NASAW00011651,1992-02-22,Male
NASAW00011652,1986-03-29,Female
NASAW00011653,1994-01-04,Female
NASAW00011654,1999-09-25,Male
NASAW00011655,1970-01-12,Male
NASAW00011656,1971-09-14,Male
NASAW00011657,2006-12-04,Female
NASAW00011658,1988-01-18,Female
NASAW00011659,1970-10-27,Female
NASAW00011660,1980-05-25,Male
NASAW00011661,1971-01-22,Male
NASAW00011662,1976-01-28,Female
NASAW00011663,1987-12-25,Female
NASAW00011664,1995-06-04,Male
NASAW00011665,1954-10-20,Male
NASAW00011666,1966-10-02,Male
NASAW00011667,2002-03-27,Male
NASAW00011668,1982-01-30,Female
NASAW00011669,1954-01-08,Male
NASAW00011670,1945-06-19,Male
NASAW00011671,1981-07-04,Female
NASAW00011672,1987-11-02,Female
NASAW00011673,1973-10-25,Male
NASAW00011674,1953-01-10,Male
NASAW00011675,1993-01-04,Male
NASAW00011676,1960-09-15,Male
NASAW00011677,1948-04-05,Female
NASAW00011678,1989-06-11,Female
NASAW00011679,1948-05-12,male
NASAW00011680,1999-01-29,Female
NASAW00011681,1970-07-13,Female
NASAW00011682,1957-01-15,Female
NASAW00011683,1969-06-24,Male
NASAW00011684,1974-09-01,Female
NASAW00011685,2003-03-01,Male
NASAW00011686,1946-04-07,Female
NASAW00011687,1995-12-10,Male
NASAW00011688,1960-09-29,Female
NASAW00011689,1983-05-16,Male
NASAW00011690,1980-12-17,Male
NASAW00011691,1957-08-13,Male
NASAW00011692,1945-08-12,Male
NASAW00011693,1985-01-29,Female
NASAW00011694,1972-02-03,Male
NASAW00011695,1968-06-19,Male
NASAW00011696,1950-07-29,Female
NASAW00011697,1972-07-11,Female
NASAW00011698,2006-12-06,Female
NASAW00011699,1977-12-22,Male
NASAW00011700,1956-12-25,Female
NASAW00011701,1999-05-06,Female
NASAW00011702,1993-03-23,Male
NASAW00011703,1967-03-15,Male
NASAW00011704,1992-02-23,Female
NASAW00011705,1952-01-04,Male
NASAW00011706,1950-07-17,Male
NASAW00011707,1996-05-19,Male
NASAW00011708,1974-06-09,Female
NASAW00011709,1955-06-06,Female
NASAW00011710,1953-02-27,Female
NASAW00011711,1949-12-29,Female
NASAW00011712,1985-12-25,Female
NASAW00011713,2005-05-11,Male
NASAW00011714,1980-07-10,Male
NASAW00011715,1964-07-20,Male
NASAW00011716,1983-01-05,Male
NASAW00011717,1993-07-20,Male
NASAW00011718,1987-05-09,F
NASAW00011719,1961-02-23,Female
NASAW00011720,1978-08-06,Female
NASAW00011721,1985-03-29,Female
NASAW00011722,1978-09-14,Male
NASAW00011723,2003-08-20,Male
NASAW00011724,1961-01-05,Female
NASAW00011725,1992-06-12,Male
NASAW00011726,1945-04-24,Female
NASAW00011727,1986-07-16,Female
NASAW00011728,1992-09-21,Male
NASAW00011729,1967-03-17,Male
NASAW00011730,1969-09-24,Male
NASAW00011731,1947-11-22,Female
NASAW00011732,2000-03-02,Male
NASAW00011733,1966-08-05,Male
NASAW00011734,1998-04-15,male
NASAW00011735,2005-04-16,Male
NASAW00011736,1966-12-16,Female
NASAW00011737,1984-05-19,Male
NASAW00011738,1950-01-24,Female
NASAW00011739,1966-01-04,Female
NASAW00011740,1996-10-22,Female
NASAW00011741,1966-04-03,Male
NASAW00011742,2004-03-25,Female
NASAW00011743,1971-12-17,Male
NASAW00011744,2001-02-28,Female
NASAW00011745,1949-03-17,Female
NASAW00011746,1992-01-20,Female
NASAW00011747,1981-08-17,Female
NASAW00011748,1961-07-01,Female
NASAW00011749,1966-08-15,Female
NASAW00011750,1957-12-14,Male
NASAW00011751,1995-06-16,Female
NASAW00011752,1994-12-31,Female
NASAW00011753,1966-10-15,Female
NASAW00011754,2003-01-08,Female
NASAW00011755,1978-04-17,Male
NASAW00011756,1949-08-16,Male
NASAW00011757,1951-07-13,Male
NASAW00011758,1988-01-04,Female
NASAW00011759,1972-03-14,Male
NASAW00011760,1964-01-02,Male
NASAW00011761,1987-12-20,Male
NASAW00011762,1980-08-01,Female
NASAW00011763,1970-05-25,Female
NASAW00011764,1972-09-02,Female
NASAW00011765,1986-10-23,Female
NASAW00011766,1973-09-24,Female
NASAW00011767,1973-01-27,Male
NASAW00011768,1958-02-03,male
NASAW00011769,1997-05-25,Female
NASAW00011770,1971-06-26,Female
NASAW00011771,1965-08-21,Male
NASAW00011772,1989-10-18,Female
NASAW00011773,1968-02-02,Female
NASAW00011774,2002-07-28,Female
NASAW00011775,1960-02-04,Female
NASAW00011776,1960-03-09,Female
NASAW00011777,1961-07-06,Male
