prd_id,prd_key,prd_nm,prd_cost,prd_line,prd_start_dt,prd_end_dt
251,HB-CL-PAIN-FAMILY,Pain Relief - FAMILY,22.43,M,2014-03-29,
252,PR-GR-SPIN-2L,Spinach - 2L,40.92,R,2022-06-24,2024-02-08
253,DA-FO-WHOL-1L,Whole Milk - 1L,64.71,M,2015-06-23,2017-05-03
254,HH-GR-DISH-1L,Dish Liquid - 1L,45.33,R,2022-05-24,2026-09-28
255,HH-DR-LAUN-EA,Laundry Powder - EA,48.49,R,2020-08-04,
256,BV-CL-SPRI-EA,Spring Water - EA,67.29,R,2024-10-16,
257,PN-CH-BAKE-2L,Baked Beans - 2L,9.88,M,2020-08-19,
258,MT-DR-PORK-12PK,Pork Chops - 12PK,38.55,R,2012-01-26,
259,HH-GR-LAUN-FAMILY,Laundry Powder - FAMILY,62.01,M,2024-07-29,
260,BV-FO-SPRI-6PK,Spring Water - 6PK,56.03,T,2019-07-16,2025-10-12
261,BK-CL-WHOL-EA,Wholemeal Bread - EA,44.61,T,2021-06-03,
262,HH-PC-PAPE-2L,Paper Towels - 2L,67.88,S,2018-06-08,
263,FR-PC-FROZ-1L,Frozen Pizza - 1L,75.12,S,2021-07-09,
264,BV-DR-SPAR-1L,Sparkling Water - 1L,72.72,M,2017-11-24,
265,BK-PC-BAGE-1KG,Bagels - 1KG,35.18,T,2013-03-21,
266,DA-CL-SOUR-EA,Sour Cream - EA,21.19,M,2015-07-06,
267,HB-FO-HAND-1L,Hand Soap - 1L,17.31,T,2018-04-19,
268,BV-PC-SPAR-500G,Sparkling Water - 500G,28.28,R,2021-09-20,
269,SN-FO-CHOC-XL,Chocolate Bar - XL,49.13,R,2024-05-08,2028-09-23
270,BK-CH-CHOC-FAMILY,Chocolate Cake - FAMILY,49.47,T,2012-07-23,
271,HB-CH-BODY-EA,Body Wash - EA,19.7,R,2012-06-25,2018-07-26
272,DA-DR-MOZZ-1L,Mozzarella - 1L,28.91,M,2018-11-14,2021-03-15
273,PN-CL-BAKE-12PK,Baked Beans - 12PK,76.91,R,2012-09-05,
274,PN-CH-SUGA-2L,Sugar - 2L,3.1,S,2016-09-12,2019-12-08
275,BK-FO-WHIT-250G,White Bread - 250G,44.33,S,2018-06-17,2022-08-09
276,HH-GR-DISH-12PK,Dish Liquid - 12PK,12.23,S,2019-11-06,2009-11-18
277,PN-CL-BASM-XL,Basmati Rice - XL,49.45,T,2022-10-21,2029-06-19
278,BK-PC-BAGE-FAMILY,Bagels - FAMILY,5.98,M,2017-10-08,
279,MT-GR-LAMB-6PK,Lamb Leg - 6PK,14.22,M,2022-03-25,
280,FR-PC-FROZ-FAMILY,Frozen Pizza - FAMILY,3.22,M,2013-06-18,
281,FR-CL-FROZ-EA,Frozen Berries - EA,43.29,M,2025-02-09,
282,PN-CH-TUNA-500G,Tuna Cans - 500G,24.3,T,2015-12-15,2017-04-26
283,HB-FO-NAPP-1KG,Nappies - 1KG,,R,2014-06-18,
284,BV-FO-ORAN-500G,Orange Juice - 500G,21.21,M,2015-01-02,2011-11-20
285,FR-CL-FROZ-FAMILY,Frozen Pizza - FAMILY,45.28,T,2024-09-27,2026-07-29
286,MT-GR-PRAW-XL,Prawns - XL,50.71,S,2012-05-14,
287,HH-PC-SURF-6PK,Surface Spray - 6PK,36.05,R,2020-10-09,
288,HH-CH-PAPE-500G,Paper Towels - 500G,53.91,T,2013-08-31,
289,SN-CH-CRAC-FAMILY,Crackers - FAMILY,65.36,R,2024-08-24,
290,HH-PC-LAUN-250G,Laundry Powder - 250G,24.26,M,2024-06-13,
291,BV-PC-GREE-500G,Green Tea - 500G,78.25,S,2022-07-07,
292,HB-GR-HAND-6PK,Hand Soap - 6PK,1.9,R,2021-02-18,
293,DA-CL-MOZZ-XL,Mozzarella - XL,17.66,T,2015-10-25,2017-02-03
294,BV-PC-SPAR-6PK,Sparkling Water - 6PK,40.83,T,2019-04-29,2023-03-02
295,MT-FO-LAMB-EA,Lamb Leg - EA,42.78,R,2023-06-18,
296,HB-DR-TOOT-6PK,Toothpaste - 6PK,9.81,R,2019-07-15,2024-02-19
297,DA-FO-GREE-XL,Greek Yoghurt - XL,,R,2021-02-21,
298,BV-GR-SPRI-1L,Spring Water - 1L,35.34,T,2016-09-13,
299,BK-DR-BAGE-12PK,Bagels - 12PK,9.62,R,2023-10-11,
300,HH-CL-BINB-FAMILY,Bin Bags - FAMILY,44.89,R,2021-12-13,
301,BK-CH-MUFF-500G,Muffins - 500G,23.53,M,2018-06-19,2024-04-19
302,PR-FO-SPIN-2L,Spinach - 2L,50.91,S,2025-09-16,
303,SN-CH-COOK-250G,Cookies - 250G,,R,2019-04-12,
304,HH-PC-BINB-6PK,Bin Bags - 6PK,38.08,R,2014-03-05,
305,SN-PC-COOK-1KG,Cookies - 1KG,66.88,T,2015-10-22,2020-05-02
306,HH-CH-TOIL-XL,Toilet Paper - XL,27.82,M,2022-02-06,
307,PR-FO-AVOC-EA,Avocados - EA,42.04,R,2014-03-01,
308,HB-CL-SHAM-12PK,Shampoo - 12PK,41.77,S,2023-11-03,
309,FR-DR-FROZ-1L,Frozen Chips - 1L,,M,2019-05-23,2009-05-19
310,PR-FO-LETT-XL,Lettuce - XL,15.98,T,2019-08-14,
311,HB-CL-HAND-FAMILY,Hand Soap - FAMILY,33.27,M,2012-10-19,2017-07-02
312,BK-FO-BURG-12PK,Burger Buns - 12PK,52.75,R,2019-07-30,2020-04-30
313,BV-CL-SPAR-1L,Sparkling Water - 1L,,S,2019-04-12,2021-10-17
314,BV-DR-SPAR-FAMILY,Sparkling Water - FAMILY,,M,2025-05-04,2031-06-02
315,BK-PC-BAGE-1L,Bagels - 1L,77.48,R,2015-03-18,
316,DA-CL-MOZZ-6PK,Mozzarella - 6PK,13.16,M,2022-06-14,2023-06-07
317,HH-CH-PAPE-6PK,Paper Towels - 6PK,10.9,R,2015-09-30,
318,MT-CL-PRAW-250G,Prawns - 250G,68.15,T,2025-01-29,2031-11-17
319,BK-GR-CHOC-2L,Chocolate Cake - 2L,22.21,S,2015-03-24,
320,FR-DR-ICEC-1L,Ice Cream Tub - 1L,35.7,S,2024-01-02,
321,DA-GR-SOUR-1KG,Sour Cream - 1KG,43.71,T,2013-09-23,2015-06-14
322,HH-PC-TOIL-6PK,Toilet Paper - 6PK,30.89,S,2018-11-24,
323,HB-FO-TOOT-EA,Toothpaste - EA,58.32,R,2024-01-21,2028-11-29
324,HB-CH-BODY-500G,Body Wash - 500G,36.86,S,2015-10-18,
325,DA-FO-CREA-12PK,Cream Cheese - 12PK,25.96,T,2024-10-15,
326,BV-PC-ORAN-2L,Orange Juice - 2L,64.43,S,2025-03-23,
327,HB-GR-NAPP-XL,Nappies - XL,58.19,T,2016-05-12,
328,SN-PC-COOK-1KG,Cookies - 1KG,36.82,S,2012-04-02,
329,HB-PC-SHAM-2L,Shampoo - 2L,68.46,R,2015-03-13,2019-10-09
330,HB-GR-SHAM-12PK,Shampoo - 12PK,22.42,R,2018-12-12,
331,PN-FO-SUGA-2L,Sugar - 2L,69.47,T,2014-06-03,
332,BK-CL-CHOC-500G,Chocolate Cake - 500G,41.94,R,2012-09-15,2017-12-19
333,PR-CH-POTA-1L,Potatoes - 1L,33.82,M,2020-07-14,
334,SN-DR-POPC-12PK,Popcorn - 12PK,,T,2015-03-11,
335,BK-CL-CROI-2L,Croissant - 2L,4.33,M,2012-02-15,2016-08-19
336,HB-PC-PAIN-XL,Pain Relief - XL,43.3,M,2012-10-09,
337,FR-DR-FISH-12PK,Fish Fingers - 12PK,,T,2017-11-13,2019-06-18
338,DA-FO-SOUR-250G,Sour Cream - 250G,23.02,M,2015-01-14,
339,HH-GR-PAPE-FAMILY,Paper Towels - FAMILY,21.92,S,2016-06-01,
340,MT-CH-CHIC-250G,Chicken Breast - 250G,76.36,T,2012-11-07,
341,BV-FO-GREE-EA,Green Tea - EA,30.18,S,2014-10-28,2020-01-03
342,SN-DR-CHOC-XL,Chocolate Bar - XL,6.46,S,2020-12-31,2007-01-07
343,BK-CL-BAGE-500G,Bagels - 500G,0.71,M,2016-06-22,2018-11-07
344,PR-CL-APPL-6PK,Apples - 6PK,51.07,M,2012-08-07,
345,PR-CH-ORAN-1L,Oranges - 1L,,R,2015-02-19,
346,HH-FO-TOIL-XL,Toilet Paper - XL,68.59,R,2017-08-30,2018-05-01
347,SN-CL-POPC-XL,Popcorn - XL,22.73,T,2023-11-19,2011-03-06
348,HH-DR-DISH-1L,Dish Liquid - 1L,0.57,R,2014-07-30,
349,BK-CH-WHIT-12PK,White Bread - 12PK,32.79,T,2015-09-03,2022-01-16
350,PR-CL-TOMA-250G,Tomatoes - 250G,8.46,M,2023-05-02,2025-09-23
351,BK-FO-WHIT-12PK,White Bread - 12PK,17.44,S,2020-08-15,
352,HB-PC-BODY-EA,Body Wash - EA,63.05,R,2020-08-30,
353,BV-CL-SPRI-1KG,Spring Water - 1KG,,M,2020-09-16,
354,MT-GR-PRAW-FAMILY,Prawns - FAMILY,53.2,M,2018-01-27,2020-04-06
355,BK-CL-BURG-6PK,Burger Buns - 6PK,17.01,T,2025-05-15,
356,BV-CL-GREE-FAMILY,Green Tea - FAMILY,4.16,M,2017-03-30,
357,PR-PC-ORAN-250G,Oranges - 250G,40.56,T,2024-12-29,
358,PR-CH-POTA-250G,Potatoes - 250G,44.57,T,2014-08-25,2017-06-14
359,MT-PC-PORK-250G,Pork Chops - 250G,40.0,T,2016-08-23,2018-04-29
360,BK-CL-CHOC-XL,Chocolate Cake - XL,28.06,S,2022-02-02,
361,HH-CH-TOIL-2L,Toilet Paper - 2L,43.35,M,2012-07-16,
362,PN-GR-OLIV-XL,Olive Oil - XL,75.78,T,2018-06-12,2022-04-19
363,BK-FO-BAGE-1L,Bagels - 1L,,M,2019-08-15,
364,BV-CL-COLA-1L,Cola - 1L,75.0,R,2020-05-18,2027-01-14
365,MT-CL-PORK-1KG,Pork Chops - 1KG,66.45,R,2020-09-01,
366,DA-GR-MOZZ-6PK,Mozzarella - 6PK,25.53,S,2024-06-14,
367,FR-CL-FISH-1KG,Fish Fingers - 1KG,12.81,S,2014-05-20,
368,SN-GR-CHOC-1KG,Chocolate Bar - 1KG,33.49,M,2020-04-28,
369,PR-CL-TOMA-250G,Tomatoes - 250G,15.43,M,2012-10-31,
370,HH-PC-BINB-1L,Bin Bags - 1L,72.86,S,2012-10-17,
371,PR-FO-CARR-6PK,Carrots - 6PK,16.12,R,2013-08-21,2016-08-02
372,SN-DR-MIXE-EA,Mixed Nuts - EA,75.01,S,2014-09-12,
373,HH-CL-SURF-12PK,Surface Spray - 12PK,21.04,T,2014-09-18,2017-12-30
374,PR-CL-TOMA-2L,Tomatoes - 2L,58.59,M,2016-07-30,2017-05-30
375,BK-CH-CROI-500G,Croissant - 500G,32.41,R,2018-07-13,
376,PR-PC-AVOC-6PK,Avocados - 6PK,13.92,M,2014-02-08,
377,HB-CL-PAIN-XL,Pain Relief - XL,38.66,R,2023-12-04,
378,PR-DR-SPIN-EA,Spinach - EA,22.84,M,2024-05-06,
379,HH-DR-SURF-1KG,Surface Spray - 1KG,41.17,T,2015-04-21,2015-11-08
380,BV-DR-GREE-250G,Green Tea - 250G,13.69,T,2023-01-16,2027-02-12
381,DA-FO-SOUR-250G,Sour Cream - 250G,2.04,T,2016-01-22,
382,SN-DR-POTA-EA,Potato Chips - EA,76.26,T,2019-11-18,
383,BV-DR-ENER-500G,Energy Drink - 500G,,R,2017-03-03,
384,BK-CL-BURG-500G,Burger Buns - 500G,57.81,T,2023-09-23,2029-05-13
385,FR-GR-ICEC-250G,Ice Cream Tub - 250G,1.08,M,2016-05-15,2019-01-24
386,HH-CH-TOIL-12PK,Toilet Paper - 12PK,69.62,S,2024-07-12,
387,SN-CH-POTA-2L,Potato Chips - 2L,47.01,R,2021-03-15,
388,SN-CH-COOK-FAMILY,Cookies - FAMILY,2.16,R,2013-01-17,
389,FR-CH-FROZ-2L,Frozen Chips - 2L,67.53,S,2019-10-24,
390,HH-GR-PAPE-250G,Paper Towels - 250G,58.49,S,2024-02-26,
391,MT-CL-BEEF-EA,Beef Mince - EA,1.09,M,2023-03-25,
392,PR-FO-CARR-250G,Carrots - 250G,53.91,M,2012-05-05,2017-11-13
393,BV-PC-INST-1KG,Instant Coffee - 1KG,21.98,R,2022-03-29,2027-07-31
394,HB-PC-PAIN-2L,Pain Relief - 2L,51.45,R,2022-06-01,
395,PR-FO-BROC-2L,Broccoli - 2L,34.03,T,2019-09-20,
396,PR-PC-ORAN-XL,Oranges - XL,74.32,R,2017-06-10,
397,MT-PC-BEEF-1KG,Beef Mince - 1KG,,S,2021-03-18,
398,DA-CL-BUTT-XL,Butter Block - XL,49.93,M,2013-01-02,
399,PN-DR-BAKE-FAMILY,Baked Beans - FAMILY,46.38,T,2020-07-05,2021-03-30
400,PR-GR-APPL-500G,Apples - 500G,2.97,S,2013-10-28,2018-07-13
401,PN-PC-BASM-2L,Basmati Rice - 2L,58.98,T,2015-06-29,2021-05-14
402,PN-DR-SUGA-1L,Sugar - 1L,48.53,M,2022-12-27,
403,BK-FO-BURG-1KG,Burger Buns - 1KG,7.17,R,2016-10-13,
404,FR-CH-FROZ-1L,Frozen Peas - 1L,71.8,T,2020-07-05,
405,FR-FO-FROZ-6PK,Frozen Peas - 6PK,7.39,M,2012-04-11,
406,BV-GR-GREE-FAMILY,Green Tea - FAMILY,0.65,M,2012-02-26,
407,SN-GR-COOK-2L,Cookies - 2L,33.07,S,2023-02-02,2027-12-17
408,SN-PC-COOK-FAMILY,Cookies - FAMILY,12.6,S,2023-11-08,2029-09-07
409,DA-CH-WHOL-6PK,Whole Milk - 6PK,49.27,R,2020-01-04,
410,HB-FO-PAIN-XL,Pain Relief - XL,13.02,S,2018-11-07,2022-12-30
411,PR-CH-ORAN-500G,Oranges - 500G,59.59,R,2022-07-02,
412,BV-GR-ENER-6PK,Energy Drink - 6PK,49.28,S,2024-08-03,2029-08-14
413,BK-GR-BAGE-12PK,Bagels - 12PK,56.59,R,2022-07-25,
414,HH-CH-BINB-1KG,Bin Bags - 1KG,8.49,M,2025-11-15,2011-12-19
415,BK-PC-CROI-EA,Croissant - EA,22.86,T,2025-08-11,
416,BV-PC-GREE-FAMILY,Green Tea - FAMILY,67.39,M,2017-07-10,
417,FR-CL-FISH-6PK,Fish Fingers - 6PK,53.38,R,2020-01-13,
418,DA-FO-MOZZ-1KG,Mozzarella - 1KG,45.0,R,2023-10-04,
419,HH-FO-BINB-6PK,Bin Bags - 6PK,11.06,T,2024-01-02,
420,BK-CL-BURG-EA,Burger Buns - EA,,R,2025-12-24,2031-12-11
421,DA-PC-MOZZ-XL,Mozzarella - XL,74.84,S,2024-08-19,
422,FR-DR-FROZ-FAMILY,Frozen Pizza - FAMILY,47.87,M,2015-10-25,2019-08-01
423,BK-CH-WHIT-1L,White Bread - 1L,14.9,R,2015-02-18,
424,HH-PC-SURF-12PK,Surface Spray - 12PK,28.8,S,2015-12-02,
425,MT-GR-BEEF-XL,Beef Mince - XL,69.35,M,2013-07-21,
426,PR-CH-POTA-250G,Potatoes - 250G,46.47,M,2023-11-21,
427,BV-CL-COLA-1L,Cola - 1L,24.23,S,2015-01-17,
428,FR-PC-FROZ-250G,Frozen Pizza - 250G,61.32,T,2024-04-28,
429,PN-GR-TOMA-FAMILY,Tomato Sauce - FAMILY,20.3,S,2024-12-23,2027-11-21
430,MT-FO-SAUS-12PK,Sausages - 12PK,,S,2018-03-22,
431,SN-DR-CHOC-1KG,Chocolate Bar - 1KG,39.11,R,2013-05-20,
432,FR-FO-FROZ-XL,Frozen Berries - XL,62.97,T,2013-06-17,
433,BV-CL-ORAN-12PK,Orange Juice - 12PK,45.5,M,2020-05-23,
434,SN-GR-POTA-1L,Potato Chips - 1L,28.84,R,2023-04-22,
435,BK-CH-BAGE-250G,Bagels - 250G,5.7,T,2022-11-21,2027-04-08
436,PR-CL-ORAN-1KG,Oranges - 1KG,74.32,S,2014-03-28,
437,BK-CH-BURG-FAMILY,Burger Buns - FAMILY,40.3,T,2020-05-29,2021-02-01
438,BV-FO-SPRI-FAMILY,Spring Water - FAMILY,,S,2022-09-29,
439,DA-GR-BUTT-1KG,Butter Block - 1KG,75.42,R,2022-06-24,
440,DA-CH-MOZZ-1L,Mozzarella - 1L,12.44,M,2025-09-05,2030-01-20
441,PN-FO-TOMA-2L,Tomato Sauce - 2L,20.84,S,2018-11-09,
442,MT-PC-SAUS-250G,Sausages - 250G,6.06,T,2018-01-03,2023-01-05
443,BV-DR-SPRI-6PK,Spring Water - 6PK,8.31,R,2017-02-16,
444,HB-FO-BODY-12PK,Body Wash - 12PK,42.06,R,2025-05-01,
445,PN-CL-SPAG-1KG,Spaghetti - 1KG,40.25,S,2012-02-19,
446,SN-CL-MIXE-250G,Mixed Nuts - 250G,28.71,S,2021-06-18,
447,BV-CH-INST-FAMILY,Instant Coffee - FAMILY,57.22,S,2018-06-27,
448,BV-FO-INST-FAMILY,Instant Coffee - FAMILY,59.37,M,2014-04-11,2018-02-12
449,SN-GR-POPC-2L,Popcorn - 2L,50.73,T,2024-09-09,
450,DA-DR-SOUR-2L,Sour Cream - 2L,26.1,M,2021-08-07,
451,FR-GR-FISH-12PK,Fish Fingers - 12PK,32.67,R,2012-08-11,
452,HB-DR-SHAM-XL,Shampoo - XL,17.58,T,2016-02-16,
453,DA-FO-WHOL-1L,Whole Milk - 1L,45.6,R,2017-10-21,
454,SN-DR-MUES-2L,Muesli Bars - 2L,54.2,T,2012-12-13,
455,DA-FO-CREA-1KG,Cream Cheese - 1KG,3.43,R,2013-02-06,
456,PN-FO-OLIV-XL,Olive Oil - XL,45.33,M,2016-08-20,
457,DA-DR-SOUR-2L,Sour Cream - 2L,31.3,T,2014-04-07,
458,PR-PC-BROC-1L,Broccoli - 1L,42.52,R,2015-08-08,
459,DA-CH-CREA-12PK,Cream Cheese - 12PK,5.41,S,2014-10-25,
460,HH-CL-LAUN-EA,Laundry Powder - EA,52.8,T,2024-12-08,
461,BK-PC-CHOC-250G,Chocolate Cake - 250G,19.98,M,2019-07-02,
462,SN-FO-MUES-XL,Muesli Bars - XL,39.59,M,2019-11-03,2022-03-13
463,HB-GR-TOOT-250G,Toothpaste - 250G,49.21,M,2018-03-14,2020-08-13
464,BV-FO-ORAN-FAMILY,Orange Juice - FAMILY,66.43,R,2017-05-15,
465,HB-PC-BODY-250G,Body Wash - 250G,33.33,R,2014-11-10,
466,FR-CL-FISH-EA,Fish Fingers - EA,34.78,M,2023-05-14,2026-07-23
467,MT-FO-LAMB-12PK,Lamb Leg - 12PK,25.83,T,2025-10-05,
468,MT-CH-SAUS-1KG,Sausages - 1KG,16.98,M,2013-03-20,
469,PN-CH-OLIV-XL,Olive Oil - XL,68.84,T,2015-02-26,2015-09-19
470,BV-GR-SPAR-XL,Sparkling Water - XL,52.79,R,2015-11-17,
471,HB-DR-HAND-250G,Hand Soap - 250G,28.89,S,2020-01-27,2021-12-03
472,MT-DR-LAMB-500G,Lamb Leg - 500G,23.2,S,2019-04-25,2020-09-07
473,BV-PC-COLA-1L,Cola - 1L,9.45,S,2012-10-04,2016-09-28
474,BK-FO-CROI-EA,Croissant - EA,21.34,M,2018-08-08,
475,MT-FO-LAMB-2L,Lamb Leg - 2L,45.07,M,2015-09-02,2021-12-27
476,HH-CH-SURF-EA,Surface Spray - EA,55.7,M,2022-10-25,
477,HB-GR-PAIN-1KG,Pain Relief - 1KG,54.35,M,2013-02-24,2017-03-30
478,PN-CL-BAKE-12PK,Baked Beans - 12PK,21.65,R,2022-08-02,2023-02-13
479,SN-GR-CHOC-2L,Chocolate Bar - 2L,35.4,T,2023-09-09,2026-08-09
480,PN-DR-BASM-6PK,Basmati Rice - 6PK,64.48,T,2014-02-01,
481,DA-PC-BUTT-XL,Butter Block - XL,25.23,M,2017-05-02,
482,HB-FO-PAIN-12PK,Pain Relief - 12PK,71.45,T,2016-10-22,2023-06-15
483,BV-CL-SPRI-FAMILY,Spring Water - FAMILY,12.26,S,2015-12-01,2019-01-28
484,HB-CH-HAND-1KG,Hand Soap - 1KG,10.81,M,2023-04-17,
485,DA-PC-BUTT-250G,Butter Block - 250G,36.14,T,2025-06-19,
486,DA-CH-GREE-2L,Greek Yoghurt - 2L,61.44,S,2025-11-20,
487,MT-CL-SALM-500G,Salmon Fillet - 500G,21.07,M,2015-07-24,
488,PR-CH-BANA-12PK,Bananas - 12PK,,S,2018-12-11,
489,FR-CH-FISH-6PK,Fish Fingers - 6PK,62.08,M,2020-08-30,
490,FR-DR-FROZ-2L,Frozen Peas - 2L,45.89,M,2025-02-22,
491,FR-GR-FROZ-250G,Frozen Pizza - 250G,,M,2020-03-01,
492,SN-CH-CRAC-XL,Crackers - XL,67.03,M,2015-12-06,2022-06-05
493,HB-DR-PAIN-2L,Pain Relief - 2L,40.71,M,2022-01-02,
494,MT-CH-PRAW-EA,Prawns - EA,74.77,T,2025-03-17,
495,PN-DR-TUNA-2L,Tuna Cans - 2L,24.08,T,2024-05-09,
496,PR-CL-APPL-1KG,Apples - 1KG,67.92,T,2019-05-07,2025-09-29
497,BK-FO-MUFF-1KG,Muffins - 1KG,71.58,T,2014-04-07,
498,HH-CL-SURF-FAMILY,Surface Spray - FAMILY,74.22,R,2025-01-31,
499,MT-GR-CHIC-2L,Chicken Breast - 2L,42.71,R,2015-12-18,
500,PR-GR-ORAN-12PK,Oranges - 12PK,60.78,M,2015-04-05,2019-07-04
501,PN-CL-FLOU-6PK,Flour - 6PK,24.67,T,2023-04-21,
502,BV-PC-GREE-EA,Green Tea - EA,0.79,M,2019-03-22,2021-09-02
503,HH-GR-LAUN-EA,Laundry Powder - EA,,S,2022-04-18,
504,SN-CH-CHOC-1L,Chocolate Bar - 1L,49.52,M,2021-01-31,
505,DA-CL-CREA-12PK,Cream Cheese - 12PK,,R,2012-06-12,2015-03-26
506,BK-PC-WHOL-XL,Wholemeal Bread - XL,15.7,M,2012-07-01,
507,BV-PC-GREE-6PK,Green Tea - 6PK,60.7,T,2025-02-17,2026-04-28
508,PR-GR-TOMA-1L,Tomatoes - 1L,74.84,S,2018-04-05,2019-11-17
509,BV-DR-INST-12PK,Instant Coffee - 12PK,78.2,M,2014-09-08,
510,SN-DR-MIXE-6PK,Mixed Nuts - 6PK,19.43,R,2020-04-07,
511,PN-FO-SPAG-EA,Spaghetti - EA,11.5,R,2012-12-07,
512,DA-DR-MOZZ-2L,Mozzarella - 2L,28.96,S,2016-08-06,
513,HB-CL-NAPP-1L,Nappies - 1L,19.01,R,2012-02-28,
514,MT-GR-LAMB-6PK,Lamb Leg - 6PK,20.66,S,2019-08-22,
515,BK-CH-BAGE-XL,Bagels - XL,18.58,S,2019-07-28,2025-10-11
516,BV-GR-COLA-12PK,Cola - 12PK,9.07,M,2013-01-17,
517,HH-DR-LAUN-EA,Laundry Powder - EA,36.56,M,2024-03-10,2029-07-04
518,HB-CL-PAIN-12PK,Pain Relief - 12PK,55.73,M,2015-11-12,
519,SN-CL-CHOC-2L,Chocolate Bar - 2L,48.7,R,2013-04-22,2015-05-09
520,SN-PC-MIXE-FAMILY,Mixed Nuts - FAMILY,14.79,R,2022-11-12,
521,BK-PC-BAGE-250G,Bagels - 250G,11.56,M,2017-08-17,
522,FR-PC-FISH-250G,Fish Fingers - 250G,6.99,M,2025-01-29,
523,HH-DR-LAUN-2L,Laundry Powder - 2L,79.35,M,2018-11-18,
524,SN-CH-CRAC-1L,Crackers - 1L,7.94,T,2016-06-17,
525,HB-CL-HAND-1L,Hand Soap - 1L,72.4,M,2017-01-31,
526,HB-GR-BODY-12PK,Body Wash - 12PK,42.15,T,2025-11-19,
527,SN-GR-MIXE-EA,Mixed Nuts - EA,32.62,T,2021-07-02,
528,DA-PC-CREA-6PK,Cream Cheese - 6PK,15.87,S,2020-10-10,
529,MT-DR-CHIC-XL,Chicken Breast - XL,69.09,R,2012-04-24,
530,HB-PC-NAPP-250G,Nappies - 250G,21.56,M,2020-07-31,
