sls_ord_num,sls_prd_key,sls_cust_id,sls_order_dt,sls_ship_dt,sls_due_dt,sls_sales,sls_quantity,sls_price
GO43797,MT-CL-BEEF-EA,23287,20240809,20240814,20240815,4.68,3,1.56
GO43798,DA-CH-MOZZ-1L,17615,20260427,20260502,20260506,37.68,2,18.84
GO43799,DA-FO-MOZZ-1KG,13438,20220420,20220422,20220504,370.55,5,74.11
GO43800,HB-FO-HAND-6PK,20167,20231029,20231105,20231111,503.36,4,125.84
GO43801,BV-DR-GREE-250G,23170,20221220,20221226,20230102,94.3,5,18.86
GO43802,MT-PC-PORK-250G,13672,20210422,20210425,20210501,663.3,10,66.33
GO43803,SN-GR-CHOC-1KG,24219,20240815,20240817,20240829,51.41,1,51.41
GO43804,MT-FO-LAMB-12PK,26262,20251202,20251209,20251216,37.58,1,37.58
GO43805,SN-FO-POTA-1KG,27831,20220609,20220613,20220623,233.04,6,38.84
GO43806,SN-GR-CHOC-2L,13766,20200917,20200920,20201001,126.9,3,42.3
GO43807,PN-CH-BAKE-2L,13968,20230809,20230814,20230814,31.64,2,15.82
GO43808,HB-PC-BODY-EA,25758,20241128,20241201,20241208,105.0,1,105.0
GO43809,HB-GR-NAPP-XL,22594,20210116,20210120,20210124,70.58,1,70.58
GO43810,BK-CL-CHOC-250G,15341,20200223,20200229,20200302,336.12,4,84.03
GO43811,PN-CL-BASM-1KG,13292,20240730,20240804,20240807,106.11,1,106.11
GO43812,BK-GR-BAGE-1L,17036,20201220,20201223,20210101,295.68,3,98.56
GO43813,HB-DR-HAND-12PK,14651,20260412,20260414,20260422,17.89,1,17.89
GO43814,HB-DR-HAND-250G,25862,20250602,20250607,20250612,175.36,4,43.84
GO43815,DA-FO-GREE-XL,26428,20200324,20200329,20200329,12.61,1,12.61
GO43816,MT-GR-CHIC-2L,14450,20220131,20220207,20220206,141.54,2,70.77
GO43817,PN-PC-TUNA-12PK,14409,20221209,20221213,20221215,68.17,1,68.17
GO43818,FR-CL-FROZ-EA,25919,20220702,20220703,20220708,75.38,1,75.38
GO43819,PR-CL-TOMA-250G,17557,20221216,20221223,20221229,34.35,3,11.45
GO43820,PR-PC-ORAN-XL,11028,20251016,20251018,20251029,217.82,2,108.91
GO43821,HB-DR-TOOT-6PK,12151,20260513,20260514,20260522,28.0,2,14.0
GO43822,PN-CL-SPAG-1KG,25139,20240615,20240621,20240622,49.09,1,49.09
GO43823,DA-GR-ALMO-250G,13127,20240608,20240615,20240622,16.88,4,4.22
GO43824,PN-CH-BAKE-2L,25312,20240614,20240617,20240625,16.55,1,16.55
GO43825,BK-CL-CHOC-250G,16430,20230214,20230219,20230228,201.04,2,100.52
GO43826,HH-PC-SURF-6PK,11000,20241026,20241101,20241107,417.5,10,41.75
GO43827,BV-DR-SPRI-6PK,27927,20211108,20211109,20211115,11.3,1,11.3
GO43828,DA-CL-BUTT-XL,25876,20210515,20210521,20210520,78.53,1,78.53
GO43829,HH-DR-LAUN-2L,12807,20201018,20201025,20201101,1287.2,10,128.72
GO43830,BV-DR-SPAR-6PK,25821,20241230,20250102,20250109,33.43,1,33.43
GO43831,HB-DR-HAND-12PK,15558,20210506,20210509,20210517,20.91,1,20.91
GO43832,HB-PC-BODY-EA,17997,20200719,20200721,20200730,411.04,4,102.76
GO43833,BV-GR-ORAN-2L,21369,20251225,20260101,20260108,959.8,10,95.98
GO43834,FR-PC-FROZ-2L,15018,20230327,20230328,20230408,17.6,2,8.8
GO43835,BK-CL-BURG-500G,13663,20230918,20230919,20231002,77.89,1,77.89
GO43836,FR-GR-FROZ-EA,16592,20200712,20200713,20200724,1.75,1,1.75
GO43837,HH-DR-LAUN-2L,18965,20220822,20220827,20220903,111.25,1,111.25
GO43838,HB-GR-PAIN-1KG,25255,20210808,20210813,20210819,1122.24,12,93.52
GO43839,PR-DR-SPIN-EA,14756,20200426,20200430,20200501,32.61,1,32.61
GO43840,HH-CL-BINB-6PK,23173,20211019,20211026,20211031,140.08,2,70.04
GO43841,PN-CL-BASM-XL,24052,20250405,20250410,20250410,377.1,5,75.42
GO43842,FR-PC-FROZ-1L,26741,20220205,20220211,20220219,114.61,1,114.61
GO43843,HH-GR-DISH-1L,12321,20200415,20200416,20200425,212.79,3,70.93
GO43844,BV-GR-SPRI-1L,11867,20220705,20220710,20220712,52.47,1,52.47
GO43845,PR-FO-CARR-6PK,23189,20240222,20240226,20240306,20.25,1,20.25
GO43846,HB-FO-HAND-1L,25809,20220519,20220525,20220525,23.75,1,23.75
GO43847,BV-FO-ORAN-500G,19276,20200427,20200429,20200507,27.74,1,27.74
GO43848,SN-CH-POTA-1KG,21270,20251119,20251124,20251126,43.48,4,10.87
GO43849,SN-CH-MIXE-6PK,13255,20201113,20201118,20201127,24.24,12,2.02
GO43850,BV-CL-COLA-1L,11106,20200729,20200804,20200804,371.22,3,123.74
GO43851,BK-CH-WHIT-1L,16230,20220208,20220215,20220221,221.4,12,18.45
GO43852,BK-CL-CHOC-500G,28428,20250402,20250403,20250409,149.7,3,49.9
GO43853,DA-DR-MOZZ-2L,17910,20250919,20250924,20250926,41.71,1,41.71
GO43854,HB-GR-HAND-6PK,17809,20220705,20220706,20220716,3.22,1,3.22
GO43855,BK-CL-WHOL-EA,12267,20241022,20241023,20241031,112.06,2,56.03
GO43856,FR-CH-FISH-2L,11114,20251207,20251214,20251219,133.78,2,66.89
GO43857,BK-FO-CROI-EA,27045,20240312,20240315,20240321,67.08,2,33.54
GO43858,PN-DR-BAKE-FAMILY,18707,20230120,20230124,20230201,76.47,1,76.47
GO43859,PN-CH-OLIV-XL,27903,20201126,20201203,20201208,171.5,2,85.75
GO43860,FR-FO-FROZ-XL,12384,20250713,20250717,20250718,167.8,2,83.9
GO43861,BK-CL-BURG-6PK,17853,20260118,20260122,20260131,23.62,1,23.62
GO43862,FR-CL-FROZ-FAMILY,27554,20230505,20230508,20230519,192.03,3,64.01
GO43863,DA-FO-CREA-12PK,22118,20200531,20200606,20200608,75.32,2,37.66
GO43864,DA-PC-BUTT-250G,26478,20231011,20231018,20231025,342.18,6,57.03
GO43865,PR-GR-BROC-6PK,25695,20210617,20210624,20210624,9.32,2,4.66
GO43866,BK-PC-WHIT-6PK,26244,20230701,20230704,20230714,649.35,5,129.87
GO43867,PR-FO-SPIN-2L,24750,20210508,20210509,20210518,86.49,1,86.49
GO43868,SN-CH-CRAC-FAMILY,26188,20220407,20220412,20220419,226.1,2,113.05
GO43869,SN-PC-MIXE-FAMILY,22935,20251211,20251214,20251225,46.76,2,23.38
GO43870,HB-FO-HAND-6PK,13772,20211119,20211120,20211202,214.34,2,107.17
GO43871,BK-CL-CROI-2L,21026,20210409,20210411,20210416,11.02,2,5.51
GO43872,FR-CH-FROZ-500G,19477,20230729,20230805,20230808,43.56,4,10.89
GO43873,SN-CH-COOK-FAMILY,12806,20230521,20230522,20230602,6.56,2,3.28
GO43874,PN-PC-TUNA-FAMILY,25051,20240327,20240402,20240402,35.44,1,35.44
GO43875,HH-CL-SURF-12PK,13623,20200310,20200311,20200315,33.99,1,33.99
GO43876,HB-FO-PAIN-XL,19124,20260424,20260501,20260505,56.58,3,18.86
GO43877,PN-GR-TOMA-FAMILY,21322,20210805,20210806,20210815,34.45,1,34.45
GO43878,PR-FO-AVOC-1L,20172,20250623,20250625,20250706,123.07,1,123.07
GO43879,HH-DR-LAUN-EA,29243,20220802,20220806,20220809,64.8,1,64.8
GO43880,BK-PC-CHOC-250G,22416,20260222,20260228,20260302,172.56,6,28.76
GO43881,HB-GR-BODY-12PK,18731,20201209,20201213,20201215,55.64,1,55.64
GO43882,FR-PC-FISH-250G,11935,20210607,20210613,20210615,57.6,6,9.6
GO43883,BK-CH-BURG-1L,18547,20250116,20250118,20250130,118.26,3,39.42
GO43884,DA-GR-BUTT-1KG,25933,20230208,20230214,20230220,579.15,5,115.83
GO43885,BK-CH-BAGE-XL,22203,20240704,20240705,20240714,120.6,4,30.15
GO43886,PR-GR-BANA-1KG,13566,20240917,20240924,20240928,197.88,4,49.47
GO43887,FR-CH-FROZ-500G,14019,20200429,20200505,20200509,20.48,2,10.24
GO43888,FR-GR-ICEC-1KG,24307,20230522,20230524,20230527,143.94,3,47.98
GO43889,BK-PC-BAGE-1KG,25240,20211106,20211109,20211115,42.47,1,42.47
GO43890,HH-DR-LAUN-EA,21130,20211003,20211008,20211015,161.82,2,80.91
GO43891,BK-CH-CROI-500G,19111,20250530,20250604,20250608,45.59,1,45.59
GO43892,FR-DR-FISH-12PK,14218,20200807,20200808,20200812,84.0,5,16.8
GO43893,PR-GR-BANA-1KG,12158,20210304,20210310,20210309,100.68,2,50.34
GO43894,FR-PC-FISH-250G,23437,20221231,20230102,20230108,28.5,3,9.5
GO43895,HH-PC-LAUN-250G,19605,20241013,20241015,20241024,35.88,1,35.88
GO43896,BV-CH-GREE-2L,24643,20240121,20240127,20240126,277.95,3,92.65
GO43897,HH-GR-LAUN-FAMILY,15239,20220228,20220304,20220312,1233.12,12,102.76
GO43898,BV-CH-INST-FAMILY,11746,20231217,20231224,20231227,82.56,1,82.56
GO43899,FR-GR-FROZ-6PK,24362,20250418,20250420,20250429,63.81,1,63.81
GO43900,BV-DR-SPRI-2L,24723,20240620,20240621,20240704,8.49,1,8.49
GO43901,PR-CH-POTA-250G,13777,20221117,20221121,20221201,194.4,3,64.8
GO43902,DA-GR-BUTT-1KG,18724,20211207,20211213,20211219,128.58,1,128.58
GO43903,PN-FO-SPAG-EA,12497,20210206,20210213,20210219,53.52,3,17.84
GO43904,DA-GR-SOUR-12PK,13194,20250405,20250410,20250419,60.02,1,60.02
GO43905,PR-GR-SPIN-2L,25733,20230920,20230924,20230930,496.4,10,49.64
GO43906,HH-GR-DISH-1L,13747,20201030,20201102,20201110,151.94,2,75.97
GO43907,DA-GR-SOUR-12PK,17084,20240928,20241004,20241006,54.94,1,54.94
GO43908,SN-CH-MIXE-6PK,21235,20250713,20250717,20250724,7.16,4,1.79
GO43909,PN-FO-SPAG-1L,26860,20240817,20240819,20240826,129.75,5,25.95
GO43910,BV-CL-SPRI-1KG,20644,20220509,20220514,20220519,17.32,1,17.32
GO43911,PN-DR-SUGA-2L,20315,20210122,20210129,20210204,15.21,1,15.21
GO43912,BK-GR-BAGE-1L,16012,20250623,20250626,20250707,113.66,1,113.66
GO43913,BK-CL-CHOC-500G,23207,20250425,20250426,20250504,143.38,2,71.69
GO43914,HB-DR-PAIN-2L,13674,20221107,20221110,20221121,186.93,3,62.31
GO43915,PR-FO-AVOC-1L,22540,20210822,20210829,20210830,623.52,6,103.92
GO43916,DA-CH-WHOL-FAMILY,16192,20250503,20250508,20250517,65.52,1,65.52
GO43917,MT-DR-BEEF-1L,12394,20250818,20250825,20250831,109.6,4,27.4
GO43918,HB-FO-PAIN-12PK,26754,20230725,20230726,20230801,322.74,3,107.58
GO43919,FR-PC-FISH-250G,17165,20240806,20240810,20240816,11.63,1,11.63
GO43920,MT-CL-PORK-1KG,16144,20221217,20221219,20221225,98.33,1,98.33
GO43921,BV-DR-GREE-6PK,11255,20200527,20200530,20200609,370.45,5,74.09
GO43922,FR-DR-FROZ-FAMILY,12282,20210106,20210107,20210111,467.88,6,77.98
GO43923,DA-FO-CREA-12PK,28236,20250301,20250308,20250311,157.36,4,39.34
GO43924,SN-DR-MIXE-EA,15735,20250415,20250422,20250424,204.92,2,102.46
GO43925,MT-GR-PRAW-XL,20224,20250627,20250629,20250702,58.65,1,58.65
GO43926,BK-CL-CHOC-XL,12009,20221111,20221113,20221120,45.14,1,45.14
GO43927,SN-CL-CHOC-6PK,23503,20240416,20240421,20240430,225.0,5,45.0
GO43928,BV-CL-GREE-FAMILY,12307,20260207,20260213,20260216,5.12,1,5.12
GO43929,BV-CL-COLA-1L,14198,20230213,20230215,20230225,460.8,4,115.2
GO43930,DA-FO-SOUR-250G,28768,20230603,20230608,20230614,147.28,4,36.82
GO43931,BK-CL-BURG-EA,18533,20230923,20230926,20231005,63.04,2,31.52
GO43932,PN-CL-BAKE-12PK,27045,20200301,20200303,20200308,573.7,5,114.74
GO43933,BV-CL-COLA-1L,12352,20220825,20220901,20220903,588.7,5,117.74
GO43934,HB-GR-BODY-12PK,29111,20250326,20250331,20250406,115.48,2,57.74
GO43935,FR-FO-ICEC-1KG,20992,20210711,20210717,20210717,167.06,2,83.53
GO43936,DA-GR-ALMO-250G,17193,20210511,20210515,20210519,5.14,1,5.14
GO43937,DA-GR-ALMO-250G,20197,20211110,20211115,20211115,5.27,1,5.27
GO43938,HB-CL-PAIN-12PK,13191,20200917,20200924,20200929,208.5,3,69.5
GO43939,SN-GR-POPC-2L,16150,20250921,20250925,20251003,388.5,6,64.75
GO43940,FR-PC-FROZ-EA,19342,20220602,20220607,20220615,257.26,2,128.63
GO43941,HB-CH-BODY-500G,24170,20210722,20210723,20210731,104.68,2,52.34
GO43942,FR-DR-FROZ-1L,18745,20230919,20230923,20231002,6.49,1,6.49
GO43943,FR-CH-FROZ-1L,20939,20220921,20220928,20221004,171.26,2,85.63
GO43944,MT-GR-CHIC-2L,25630,20210525,20210530,20210601,145.72,2,72.86
GO43945,HH-DR-LAUN-EA,20134,20200318,20200320,20200331,425.34,6,70.89
GO43946,SN-GR-CHOC-2L,24474,20220926,20220927,20221006,113.4,2,56.7
GO43947,PR-CL-TOMA-250G,29386,20200927,20201001,20201006,11.53,1,11.53
GO43948,DA-GR-SOUR-1KG,28023,20220118,20220120,20220131,255.32,4,63.83
GO43949,BK-FO-BAGE-6PK,17289,20260312,20260316,20260326,30.93,1,30.93
GO43950,BK-PC-WHIT-6PK,26374,20260110,20260113,20260117,191.02,2,95.51
GO43951,DA-FO-SOUR-250G,20709,20200211,20200213,20200217,66.4,2,33.2
GO43952,BK-PC-BAGE-1L,22863,20211006,20211010,20211017,131.12,1,131.12
GO43953,SN-PC-COOK-1KG,20033,20240601,20240605,20240608,181.0,2,90.5
GO43954,BK-CH-CROI-1L,28878,20230216,20230217,20230223,105.12,3,35.04
GO43955,BK-PC-WHOL-XL,25000,20211031,20211104,20211109,64.44,3,21.48
GO43956,PR-CL-APPL-1KG,24258,20250212,20250215,20250226,235.74,2,117.87
GO43957,FR-CH-FROZ-1L,18351,20241009,20241016,20241022,171.54,2,85.77
GO43958,PR-GR-APPL-500G,29446,20250601,20250607,20250608,7.68,2,3.84
GO43959,PR-GR-ORAN-12PK,24604,20251130,20251202,20251206,415.96,4,103.99
GO43960,PN-CH-BAKE-2L,18222,20260523,20260530,20260604,181.92,12,15.16
GO43961,BK-PC-WHOL-XL,15403,20240930,20241006,20241007,64.65,3,21.55
GO43962,PR-CH-BANA-12PK,12669,20200224,20200229,20200303,30.36,3,10.12
GO43963,PR-PC-AVOC-6PK,19893,20240812,20240819,20240820,17.63,1,17.63
GO43964,DA-FO-WHOL-1L,20014,20221231,20230106,20230108,189.64,2,94.82
GO43965,HB-FO-TOOT-EA,15244,20250910,20250912,20250917,953.7,10,95.37
GO43966,BV-DR-SPAR-FAMILY,17349,20200131,20200204,20200213,55.68,12,4.64
GO43967,BV-PC-SPAR-6PK,25458,20240901,20240905,20240909,144.78,3,48.26
GO43968,MT-GR-SALM-250G,13056,20231223,20231228,20231231,127.08,2,63.54
GO43969,HB-CL-SHAM-12PK,15450,20200214,20200215,20200228,66.73,1,66.73
GO43970,PN-FO-OLIV-250G,27473,20250729,20250802,20250803,563.82,6,93.97
GO43971,DA-DR-MOZZ-1L,17697,20240821,20240824,20240828,33.47,1,33.47
GO43972,BK-CH-MUFF-500G,12626,20240730,20240804,20240805,80.9,2,40.45
GO43973,PN-DR-TUNA-2L,22132,20210528,20210602,20210606,39.06,1,39.06
GO43974,HB-DR-SHAM-XL,14792,20240130,20240203,20240211,57.58,2,28.79
GO43975,PR-GR-BROC-6PK,26225,20250104,20250106,20250115,34.46,1,34.46
GO43976,BK-CH-BURG-FAMILY,27177,20231005,20231011,20231016,411.18,6,68.53
GO43977,PN-DR-TUNA-2L,16969,20220820,20220824,20220828,95.76,3,31.92
GO43978,HH-FO-BINB-6PK,13285,20210602,20210605,20210616,17.26,1,17.26
GO43979,PN-CL-FLOU-6PK,20361,20210210,20210213,20210216,84.08,2,42.04
GO43980,HH-PC-BINB-6PK,29469,20240507,20240510,20240518,122.94,2,61.47
GO43981,HB-CL-TOOT-XL,15333,20230816,20230823,20230821,176.4,5,35.28
GO43982,PR-CH-BROC-12PK,27738,20201227,20201229,20210110,47.12,1,47.12
GO43983,SN-CL-POPC-XL,11905,20231022,20231029,20231031,67.34,2,33.67
GO43984,HB-CL-HAND-1L,28179,20200625,20200702,20200702,362.72,4,90.68
GO43985,PR-PC-AVOC-6PK,18040,20200929,20201002,20201007,114.7,5,22.94
GO43986,BV-DR-COLA-6PK,18962,20240401,20240407,20240406,346.74,6,57.79
GO43987,SN-CH-CHOC-1L,28076,20200202,20200208,20200212,145.52,2,72.76
GO43988,HB-CL-NAPP-1L,13385,20200903,20200909,20200917,27.66,1,27.66
GO43989,SN-GR-MIXE-12PK,22057,20260303,20260306,20260309,111.44,2,55.72
GO43990,FR-GR-ICEC-EA,16365,20221009,20221015,20221019,119.62,2,59.81
GO43991,BV-FO-ORAN-1L,19424,20250626,20250628,20250704,33.21,1,33.21
GO43992,HH-DR-DISH-1L,17804,20241001,20241008,20241009,1.5,2,0.75
GO43993,FR-GR-FISH-12PK,27534,20250403,20250407,20250409,109.7,2,54.85
GO43994,HB-PC-BODY-EA,27014,20231231,20240104,20240108,77.84,1,77.84
GO43995,HH-FO-DISH-1KG,11836,20210121,20210126,20210128,95.8,1,95.8
GO43996,MT-DR-BEEF-1L,15263,20220516,20220520,20220521,177.8,5,35.56
GO43997,HH-PC-LAUN-250G,12726,20260317,20260323,20260330,38.55,1,38.55
GO43998,PR-GR-ORAN-12PK,28520,20241203,20241210,20241211,159.1,2,79.55
GO43999,PN-CL-BASM-1KG,19527,20230207,20230211,20230220,216.18,2,108.09
GO44000,SN-PC-COOK-1KG,26240,20230519,20230526,20230531,219.78,2,109.89
GO44001,FR-CH-ICEC-XL,15716,20211108,20211109,20211117,122.4,2,61.2
GO44002,MT-GR-SALM-250G,29209,20221217,20221220,20221224,62.59,1,62.59
GO44003,FR-CL-FROZ-EA,24938,20210513,20210518,20210526,224.08,4,56.02
GO44004,HB-PC-NAPP-250G,25427,20210801,20210808,20210808,141.04,4,35.26
GO44005,DA-CH-WHOL-6PK,17642,20240923,20240929,20241005,98.8,2,49.4
GO44006,FR-GR-FROZ-EA,11807,20240126,20240129,20240205,1.92,1,1.92
GO44007,DA-FO-CREA-EA,21316,20250723,20250725,20250729,51.9,1,51.9
GO44008,FR-PC-FROZ-250G,11938,20210910,20210914,20210923,447.4,5,89.48
GO44009,DA-CL-SOUR-EA,11763,20210825,20210826,20210906,29.64,1,29.64
