order_number,product_number,customer_id,order_date,ship_date,due_date,sales_amount,quantity,price
GO43780,SN-CL-CHOC-6PK,18005,2020-05-01,2020-05-05,2020-05-12,322.9,10,32.29
GO43781,DA-DR-SOUR-2L,19085,2021-12-22,2021-12-29,2022-01-05,30.91,1,30.91
GO43782,DA-FO-SOUR-250G,22910,2022-09-01,2022-09-02,2022-09-12,106.74,3,35.58
GO43783,HH-FO-TOIL-XL,13913,2023-06-14,2023-06-17,2023-06-28,84.04,1,84.04
GO43784,MT-CL-BEEF-EA,21245,2021-02-28,2021-03-07,2021-03-10,0.0,12,1.3
GO43785,HB-FO-PAIN-XL,25159,2020-03-11,2020-03-17,2020-03-19,33.92,2,16.96
GO43786,HH-GR-LAUN-EA,15418,2021-07-08,2021-07-11,2021-07-14,112.1,5,22.42
GO43787,BV-DR-SPAR-1L,22639,2023-01-29,2023-01-31,2023-02-05,119.5,1,119.5
GO43788,BK-CL-BAGE-500G,21034,2024-12-01,2024-12-02,2024-12-08,1.02,1,1.02
GO43789,PN-DR-TUNA-2L,21794,2024-07-04,2024-07-06,2024-07-11,132.92,4,33.23
GO43790,PN-DR-SUGA-2L,24424,2020-07-25,2020-07-31,2020-08-03,56.1,3,18.7
GO43791,FR-GR-FISH-12PK,28923,2025-07-25,2025-07-28,2025-08-06,37.83,1,37.83
GO43792,BK-CL-CHOC-250G,26207,2020-08-09,2020-08-14,2020-08-16,77.64,1,77.64
GO43793,BV-PC-ORAN-2L,22128,2020-05-24,2020-05-25,2020-05-29,97.9,1,97.9
GO43794,BK-CH-BAGE-250G,28486,2023-02-13,2023-02-15,2023-02-23,9.56,1,9.56
GO43795,HH-CH-PAPE-500G,12100,2023-08-27,2023-08-31,2023-09-08,88.41,1,88.41
GO43796,BK-CL-CHOC-500G,23646,2024-03-27,2024-03-29,2024-04-05,192.09,3,64.03
GO43797,MT-CL-BEEF-EA,23287,2024-08-09,2024-08-14,2024-08-15,4.68,3,1.56
GO43798,DA-CH-MOZZ-1L,17615,2026-04-27,2026-05-02,2026-05-06,37.68,2,18.84
GO43799,DA-FO-MOZZ-1KG,13438,2022-04-20,2022-04-22,2022-05-04,370.55,5,74.11
GO43800,HB-FO-HAND-6PK,20167,2023-10-29,2023-11-05,2023-11-11,503.36,4,125.84
GO43801,BV-DR-GREE-250G,23170,2022-12-20,2022-12-26,2023-01-02,94.3,5,18.86
GO43802,MT-PC-PORK-250G,13672,2021-04-22,2021-04-25,2021-05-01,663.3,10,66.33
GO43803,SN-GR-CHOC-1KG,24219,2024-08-15,2024-08-17,2024-08-29,51.41,1,51.41
GO43804,MT-FO-LAMB-12PK,26262,2025-12-02,2025-12-09,2025-12-16,37.58,1,37.58
GO43805,SN-FO-POTA-1KG,27831,2022-06-09,2022-06-13,2022-06-23,233.04,6,38.84
GO43806,SN-GR-CHOC-2L,13766,2020-09-17,2020-09-20,2020-10-01,126.9,3,42.3
GO43807,PN-CH-BAKE-2L,13968,2023-08-09,2023-08-14,2023-08-14,31.64,2,15.82
GO43808,HB-PC-BODY-EA,25758,2024-11-28,2024-12-01,2024-12-08,105.0,1,105.0
GO43809,HB-GR-NAPP-XL,22594,2021-01-16,2021-01-20,2021-01-24,70.58,1,70.58
GO43810,BK-CL-CHOC-250G,15341,2020-02-23,2020-02-29,2020-03-02,336.12,4,84.03
GO43811,PN-CL-BASM-1KG,13292,2024-07-30,2024-08-04,2024-08-07,106.11,1,106.11
GO43812,BK-GR-BAGE-1L,17036,2020-12-20,2020-12-23,2021-01-01,295.68,3,98.56
GO43813,HB-DR-HAND-12PK,14651,2026-04-12,2026-04-14,2026-04-22,17.89,1,17.89
GO43814,HB-DR-HAND-250G,25862,2025-06-02,2025-06-07,2025-06-12,175.36,4,43.84
GO43815,DA-FO-GREE-XL,26428,2020-03-24,2020-03-29,2020-03-29,12.61,1,12.61
GO43816,MT-GR-CHIC-2L,14450,2022-01-31,2022-02-07,2022-02-06,141.54,2,70.77
GO43817,PN-PC-TUNA-12PK,14409,2022-12-09,2022-12-13,2022-12-15,68.17,1,68.17
GO43818,FR-CL-FROZ-EA,25919,2022-07-02,2022-07-03,2022-07-08,75.38,1,75.38
GO43819,PR-CL-TOMA-250G,17557,2022-12-16,2022-12-23,2022-12-29,34.35,3,11.45
GO43820,PR-PC-ORAN-XL,11028,2025-10-16,2025-10-18,2025-10-29,217.82,2,108.91
GO43821,HB-DR-TOOT-6PK,12151,2026-05-13,2026-05-14,2026-05-22,28.0,2,14.0
GO43822,PN-CL-SPAG-1KG,25139,2024-06-15,2024-06-21,2024-06-22,49.09,1,49.09
GO43823,DA-GR-ALMO-250G,13127,2024-06-08,2024-06-15,2024-06-22,16.88,4,4.22
GO43824,PN-CH-BAKE-2L,25312,2024-06-14,2024-06-17,2024-06-25,16.55,1,16.55
GO43825,BK-CL-CHOC-250G,16430,2023-02-14,2023-02-19,2023-02-28,201.04,2,100.52
GO43826,HH-PC-SURF-6PK,11000,2024-10-26,2024-11-01,2024-11-07,417.5,10,41.75
GO43827,BV-DR-SPRI-6PK,27927,2021-11-08,2021-11-09,2021-11-15,11.3,1,11.3
GO43828,DA-CL-BUTT-XL,25876,2021-05-15,2021-05-21,2021-05-20,78.53,1,78.53
GO43829,HH-DR-LAUN-2L,12807,2020-10-18,2020-10-25,2020-11-01,1287.2,10,128.72
GO43830,BV-DR-SPAR-6PK,25821,2024-12-30,2025-01-02,2025-01-09,33.43,1,33.43
GO43831,HB-DR-HAND-12PK,15558,2021-05-06,2021-05-09,2021-05-17,20.91,1,20.91
GO43832,HB-PC-BODY-EA,17997,2020-07-19,2020-07-21,2020-07-30,411.04,4,102.76
GO43833,BV-GR-ORAN-2L,21369,2025-12-25,2026-01-01,2026-01-08,959.8,10,95.98
GO43834,FR-PC-FROZ-2L,15018,2023-03-27,2023-03-28,2023-04-08,17.6,2,8.8
GO43835,BK-CL-BURG-500G,13663,2023-09-18,2023-09-19,2023-10-02,77.89,1,77.89
GO43836,FR-GR-FROZ-EA,16592,2020-07-12,2020-07-13,2020-07-24,1.75,1,1.75
GO43837,HH-DR-LAUN-2L,18965,2022-08-22,2022-08-27,2022-09-03,111.25,1,111.25
GO43838,HB-GR-PAIN-1KG,25255,2021-08-08,2021-08-13,2021-08-19,1122.24,12,93.52
GO43839,PR-DR-SPIN-EA,14756,2020-04-26,2020-04-30,2020-05-01,32.61,1,32.61
GO43840,HH-CL-BINB-6PK,23173,2021-10-19,2021-10-26,2021-10-31,140.08,2,70.04
GO43841,PN-CL-BASM-XL,24052,2025-04-05,2025-04-10,2025-04-10,377.1,5,75.42
GO43842,FR-PC-FROZ-1L,26741,2022-02-05,2022-02-11,2022-02-19,114.61,1,114.61
GO43843,HH-GR-DISH-1L,12321,2020-04-15,2020-04-16,2020-04-25,212.79,3,70.93
GO43844,BV-GR-SPRI-1L,11867,2022-07-05,2022-07-10,2022-07-12,52.47,1,52.47
GO43845,PR-FO-CARR-6PK,23189,2024-02-22,2024-02-26,2024-03-06,20.25,1,20.25
GO43846,HB-FO-HAND-1L,25809,2022-05-19,2022-05-25,2022-05-25,23.75,1,23.75
GO43847,BV-FO-ORAN-500G,19276,2020-04-27,2020-04-29,2020-05-07,27.74,1,27.74
GO43848,SN-CH-POTA-1KG,21270,2025-11-19,2025-11-24,2025-11-26,43.48,4,10.87
GO43849,SN-CH-MIXE-6PK,13255,2020-11-13,2020-11-18,2020-11-27,24.24,12,2.02
GO43850,BV-CL-COLA-1L,11106,2020-07-29,2020-08-04,2020-08-04,371.22,3,123.74
GO43851,BK-CH-WHIT-1L,16230,2022-02-08,2022-02-15,2022-02-21,221.4,12,18.45
GO43852,BK-CL-CHOC-500G,28428,2025-04-02,2025-04-03,2025-04-09,149.7,3,49.9
GO43853,DA-DR-MOZZ-2L,17910,2025-09-19,2025-09-24,2025-09-26,41.71,1,41.71
GO43854,HB-GR-HAND-6PK,17809,2022-07-05,2022-07-06,2022-07-16,3.22,1,3.22
GO43855,BK-CL-WHOL-EA,12267,2024-10-22,2024-10-23,2024-10-31,112.06,2,56.03
GO43856,FR-CH-FISH-2L,11114,2025-12-07,2025-12-14,2025-12-19,133.78,2,66.89
GO43857,BK-FO-CROI-EA,27045,2024-03-12,2024-03-15,2024-03-21,67.08,2,33.54
GO43858,PN-DR-BAKE-FAMILY,18707,2023-01-20,2023-01-24,2023-02-01,76.47,1,76.47
GO43859,PN-CH-OLIV-XL,27903,2020-11-26,2020-12-03,2020-12-08,171.5,2,85.75
GO43860,FR-FO-FROZ-XL,12384,2025-07-13,2025-07-17,2025-07-18,167.8,2,83.9
GO43861,BK-CL-BURG-6PK,17853,2026-01-18,2026-01-22,2026-01-31,23.62,1,23.62
GO43862,FR-CL-FROZ-FAMILY,27554,2023-05-05,2023-05-08,2023-05-19,192.03,3,64.01
GO43863,DA-FO-CREA-12PK,22118,2020-05-31,2020-06-06,2020-06-08,75.32,2,37.66
GO43864,DA-PC-BUTT-250G,26478,2023-10-11,2023-10-18,2023-10-25,342.18,6,57.03
GO43865,PR-GR-BROC-6PK,25695,2021-06-17,2021-06-24,2021-06-24,9.32,2,4.66
GO43866,BK-PC-WHIT-6PK,26244,2023-07-01,2023-07-04,2023-07-14,649.35,5,129.87
GO43867,PR-FO-SPIN-2L,24750,2021-05-08,2021-05-09,2021-05-18,86.49,1,86.49
GO43868,SN-CH-CRAC-FAMILY,26188,2022-04-07,2022-04-12,2022-04-19,226.1,2,113.05
GO43869,SN-PC-MIXE-FAMILY,22935,2025-12-11,2025-12-14,2025-12-25,46.76,2,23.38
GO43870,HB-FO-HAND-6PK,13772,2021-11-19,2021-11-20,2021-12-02,214.34,2,107.17
GO43871,BK-CL-CROI-2L,21026,2021-04-09,2021-04-11,2021-04-16,11.02,2,5.51
GO43872,FR-CH-FROZ-500G,19477,2023-07-29,2023-08-05,2023-08-08,43.56,4,10.89
GO43873,SN-CH-COOK-FAMILY,12806,2023-05-21,2023-05-22,2023-06-02,6.56,2,3.28
GO43874,PN-PC-TUNA-FAMILY,25051,2024-03-27,2024-04-02,2024-04-02,35.44,1,35.44
GO43875,HH-CL-SURF-12PK,13623,2020-03-10,2020-03-11,2020-03-15,33.99,1,33.99
GO43876,HB-FO-PAIN-XL,19124,2026-04-24,2026-05-01,2026-05-05,56.58,3,18.86
GO43877,PN-GR-TOMA-FAMILY,21322,2021-08-05,2021-08-06,2021-08-15,34.45,1,34.45
GO43878,PR-FO-AVOC-1L,20172,2025-06-23,2025-06-25,2025-07-06,123.07,1,123.07
GO43879,HH-DR-LAUN-EA,29243,2022-08-02,2022-08-06,2022-08-09,64.8,1,64.8
GO43880,BK-PC-CHOC-250G,22416,2026-02-22,2026-02-28,2026-03-02,172.56,6,28.76
GO43881,HB-GR-BODY-12PK,18731,2020-12-09,2020-12-13,2020-12-15,55.64,1,55.64
GO43882,FR-PC-FISH-250G,11935,2021-06-07,2021-06-13,2021-06-15,57.6,6,9.6
GO43883,BK-CH-BURG-1L,18547,2025-01-16,2025-01-18,2025-01-30,118.26,3,39.42
GO43884,DA-GR-BUTT-1KG,25933,2023-02-08,2023-02-14,2023-02-20,579.15,5,115.83
GO43885,BK-CH-BAGE-XL,22203,2024-07-04,2024-07-05,2024-07-14,120.6,4,30.15
GO43886,PR-GR-BANA-1KG,13566,2024-09-17,2024-09-24,2024-09-28,197.88,4,49.47
GO43887,FR-CH-FROZ-500G,14019,2020-04-29,2020-05-05,2020-05-09,20.48,2,10.24
GO43888,FR-GR-ICEC-1KG,24307,2023-05-22,2023-05-24,2023-05-27,143.94,3,47.98
GO43889,BK-PC-BAGE-1KG,25240,2021-11-06,2021-11-09,2021-11-15,42.47,1,42.47
GO43890,HH-DR-LAUN-EA,21130,2021-10-03,2021-10-08,2021-10-15,161.82,2,80.91
GO43891,BK-CH-CROI-500G,19111,2025-05-30,2025-06-04,2025-06-08,45.59,1,45.59
GO43892,FR-DR-FISH-12PK,14218,2020-08-07,2020-08-08,2020-08-12,84.0,5,16.8
GO43893,PR-GR-BANA-1KG,12158,2021-03-04,2021-03-10,2021-03-09,100.68,2,50.34
GO43894,FR-PC-FISH-250G,23437,2022-12-31,2023-01-02,2023-01-08,28.5,3,9.5
GO43895,HH-PC-LAUN-250G,19605,2024-10-13,2024-10-15,2024-10-24,35.88,1,35.88
GO43896,BV-CH-GREE-2L,24643,2024-01-21,2024-01-27,2024-01-26,277.95,3,92.65
GO43897,HH-GR-LAUN-FAMILY,15239,2022-02-28,2022-03-04,2022-03-12,1233.12,12,102.76
GO43898,BV-CH-INST-FAMILY,11746,2023-12-17,2023-12-24,2023-12-27,82.56,1,82.56
GO43899,FR-GR-FROZ-6PK,24362,2025-04-18,2025-04-20,2025-04-29,63.81,1,63.81
GO43900,BV-DR-SPRI-2L,24723,2024-06-20,2024-06-21,2024-07-04,8.49,1,8.49
GO43901,PR-CH-POTA-250G,13777,2022-11-17,2022-11-21,2022-12-01,194.4,3,64.8
GO43902,DA-GR-BUTT-1KG,18724,2021-12-07,2021-12-13,2021-12-19,128.58,1,128.58
GO43903,PN-FO-SPAG-EA,12497,2021-02-06,2021-02-13,2021-02-19,53.52,3,17.84
GO43904,DA-GR-SOUR-12PK,13194,2025-04-05,2025-04-10,2025-04-19,60.02,1,60.02
GO43905,PR-GR-SPIN-2L,25733,2023-09-20,2023-09-24,2023-09-30,496.4,10,49.64
GO43906,HH-GR-DISH-1L,13747,2020-10-30,2020-11-02,2020-11-10,151.94,2,75.97
GO43907,DA-GR-SOUR-12PK,17084,2024-09-28,2024-10-04,2024-10-06,54.94,1,54.94
GO43908,SN-CH-MIXE-6PK,21235,2025-07-13,2025-07-17,2025-07-24,7.16,4,1.79
GO43909,PN-FO-SPAG-1L,26860,2024-08-17,2024-08-19,2024-08-26,129.75,5,25.95
GO43910,BV-CL-SPRI-1KG,20644,2022-05-09,2022-05-14,2022-05-19,17.32,1,17.32
GO43911,PN-DR-SUGA-2L,20315,2021-01-22,2021-01-29,2021-02-04,15.21,1,15.21
GO43912,BK-GR-BAGE-1L,16012,2025-06-23,2025-06-26,2025-07-07,113.66,1,113.66
GO43913,BK-CL-CHOC-500G,23207,2025-04-25,2025-04-26,2025-05-04,143.38,2,71.69
GO43914,HB-DR-PAIN-2L,13674,2022-11-07,2022-11-10,2022-11-21,186.93,3,62.31
GO43915,PR-FO-AVOC-1L,22540,2021-08-22,2021-08-29,2021-08-30,623.52,6,103.92
GO43916,DA-CH-WHOL-FAMILY,16192,2025-05-03,2025-05-08,2025-05-17,65.52,1,65.52
GO43917,MT-DR-BEEF-1L,12394,2025-08-18,2025-08-25,2025-08-31,109.6,4,27.4
GO43918,HB-FO-PAIN-12PK,26754,2023-07-25,2023-07-26,2023-08-01,322.74,3,107.58
GO43919,FR-PC-FISH-250G,17165,2024-08-06,2024-08-10,2024-08-16,11.63,1,11.63
GO43920,MT-CL-PORK-1KG,16144,2022-12-17,2022-12-19,2022-12-25,98.33,1,98.33
GO43921,BV-DR-GREE-6PK,11255,2020-05-27,2020-05-30,2020-06-09,370.45,5,74.09
GO43922,FR-DR-FROZ-FAMILY,12282,2021-01-06,2021-01-07,2021-01-11,467.88,6,77.98
GO43923,DA-FO-CREA-12PK,28236,2025-03-01,2025-03-08,2025-03-11,157.36,4,39.34
GO43924,SN-DR-MIXE-EA,15735,2025-04-15,2025-04-22,2025-04-24,204.92,2,102.46
GO43925,MT-GR-PRAW-XL,20224,2025-06-27,2025-06-29,2025-07-02,58.65,1,58.65
GO43926,BK-CL-CHOC-XL,12009,2022-11-11,2022-11-13,2022-11-20,45.14,1,45.14
GO43927,SN-CL-CHOC-6PK,23503,2024-04-16,2024-04-21,2024-04-30,225.0,5,45.0
GO43928,BV-CL-GREE-FAMILY,12307,2026-02-07,2026-02-13,2026-02-16,5.12,1,5.12
GO43929,BV-CL-COLA-1L,14198,2023-02-13,2023-02-15,2023-02-25,460.8,4,115.2
GO43930,DA-FO-SOUR-250G,28768,2023-06-03,2023-06-08,2023-06-14,147.28,4,36.82
GO43931,BK-CL-BURG-EA,18533,2023-09-23,2023-09-26,2023-10-05,63.04,2,31.52
GO43932,PN-CL-BAKE-12PK,27045,2020-03-01,2020-03-03,2020-03-08,573.7,5,114.74
GO43933,BV-CL-COLA-1L,12352,2022-08-25,2022-09-01,2022-09-03,588.7,5,117.74
GO43934,HB-GR-BODY-12PK,29111,2025-03-26,2025-03-31,2025-04-06,115.48,2,57.74
GO43935,FR-FO-ICEC-1KG,20992,2021-07-11,2021-07-17,2021-07-17,167.06,2,83.53
GO43936,DA-GR-ALMO-250G,17193,2021-05-11,2021-05-15,2021-05-19,5.14,1,5.14
GO43937,DA-GR-ALMO-250G,20197,2021-11-10,2021-11-15,2021-11-15,5.27,1,5.27
GO43938,HB-CL-PAIN-12PK,13191,2020-09-17,2020-09-24,2020-09-29,208.5,3,69.5
GO43939,SN-GR-POPC-2L,16150,2025-09-21,2025-09-25,2025-10-03,388.5,6,64.75
GO43940,FR-PC-FROZ-EA,19342,2022-06-02,2022-06-07,2022-06-15,257.26,2,128.63
GO43941,HB-CH-BODY-500G,24170,2021-07-22,2021-07-23,2021-07-31,104.68,2,52.34
GO43942,FR-DR-FROZ-1L,18745,2023-09-19,2023-09-23,2023-10-02,6.49,1,6.49
GO43943,FR-CH-FROZ-1L,20939,2022-09-21,2022-09-28,2022-10-04,171.26,2,85.63
GO43944,MT-GR-CHIC-2L,25630,2021-05-25,2021-05-30,2021-06-01,145.72,2,72.86
GO43945,HH-DR-LAUN-EA,20134,2020-03-18,2020-03-20,2020-03-31,425.34,6,70.89
GO43946,SN-GR-CHOC-2L,24474,2022-09-26,2022-09-27,2022-10-06,113.4,2,56.7
GO43947,PR-CL-TOMA-250G,29386,2020-09-27,2020-10-01,2020-10-06,11.53,1,11.53
GO43948,DA-GR-SOUR-1KG,28023,2022-01-18,2022-01-20,2022-01-31,255.32,4,63.83
GO43949,BK-FO-BAGE-6PK,17289,2026-03-12,2026-03-16,2026-03-26,30.93,1,30.93
GO43950,BK-PC-WHIT-6PK,26374,2026-01-10,2026-01-13,2026-01-17,191.02,2,95.51
GO43951,DA-FO-SOUR-250G,20709,2020-02-11,2020-02-13,2020-02-17,66.4,2,33.2
GO43952,BK-PC-BAGE-1L,22863,2021-10-06,2021-10-10,2021-10-17,131.12,1,131.12
GO43953,SN-PC-COOK-1KG,20033,2024-06-01,2024-06-05,2024-06-08,181.0,2,90.5
GO43954,BK-CH-CROI-1L,28878,2023-02-16,2023-02-17,2023-02-23,105.12,3,35.04
GO43955,BK-PC-WHOL-XL,25000,2021-10-31,2021-11-04,2021-11-09,64.44,3,21.48
GO43956,PR-CL-APPL-1KG,24258,2025-02-12,2025-02-15,2025-02-26,235.74,2,117.87
GO43957,FR-CH-FROZ-1L,18351,2024-10-09,2024-10-16,2024-10-22,171.54,2,85.77
